Run	Condition	developmental_stage	organism_part	sex	strain	timepoint	treatment
ERR578149	adult females NMRI, 3 hours	adult	whole organism	female	NMRI	3 hours	Praziquantel
ERR578173	adult females NMRI, 3 hours	adult	whole organism	female	NMRI	3 hours	Praziquantel
ERR572969	adult males LE	adult	whole organism	male	LE		
ERR572993	adult males LE	adult	whole organism	male	LE		
ERR573066	adult males LE	adult	whole organism	male	LE		
ERR573090	adult males LE	adult	whole organism	male	LE		
ERR582491	adult males LE	adult	whole organism	male	LE		
ERR582515	adult males LE	adult	whole organism	male	LE		
ERR572967	adult males LE, 1 hour	adult	whole organism	male	LE	1 hour	Praziquantel
ERR572991	adult males LE, 1 hour	adult	whole organism	male	LE	1 hour	Praziquantel
ERR573070	adult males LE, 1 hour	adult	whole organism	male	LE	1 hour	Praziquantel
ERR573094	adult males LE, 1 hour	adult	whole organism	male	LE	1 hour	Praziquantel
ERR582489	adult males LE, 1 hour	adult	whole organism	male	LE	1 hour	Praziquantel
ERR582513	adult males LE, 1 hour	adult	whole organism	male	LE	1 hour	Praziquantel
ERR572968	adult males LE, 12 hours	adult	whole organism	male	LE	12 hours	Praziquantel
ERR572992	adult males LE, 12 hours	adult	whole organism	male	LE	12 hours	Praziquantel
ERR573068	adult males LE, 12 hours	adult	whole organism	male	LE	12 hours	Praziquantel
ERR573092	adult males LE, 12 hours	adult	whole organism	male	LE	12 hours	Praziquantel
ERR582490	adult males LE, 12 hours	adult	whole organism	male	LE	12 hours	Praziquantel
ERR582514	adult males LE, 12 hours	adult	whole organism	male	LE	12 hours	Praziquantel
ERR572961	adult males LE, 24 hours	adult	whole organism	male	LE	24 hours	Praziquantel
ERR572985	adult males LE, 24 hours	adult	whole organism	male	LE	24 hours	Praziquantel
ERR573067	adult males LE, 24 hours	adult	whole organism	male	LE	24 hours	Praziquantel
ERR573091	adult males LE, 24 hours	adult	whole organism	male	LE	24 hours	Praziquantel
ERR578160	adult males LE, 24 hours	adult	whole organism	male	LE	24 hours	Praziquantel
ERR578184	adult males LE, 24 hours	adult	whole organism	male	LE	24 hours	Praziquantel
ERR572960	adult males LE, 3 hours	adult	whole organism	male	LE	3 hours	Praziquantel
ERR572984	adult males LE, 3 hours	adult	whole organism	male	LE	3 hours	Praziquantel
ERR573069	adult males LE, 3 hours	adult	whole organism	male	LE	3 hours	Praziquantel
ERR573093	adult males LE, 3 hours	adult	whole organism	male	LE	3 hours	Praziquantel
ERR578159	adult males LE, 3 hours	adult	whole organism	male	LE	3 hours	Praziquantel
ERR578183	adult males LE, 3 hours	adult	whole organism	male	LE	3 hours	Praziquantel
ERR570483	adult males LEPZQ	adult	whole organism	male	LEPZQ		
ERR570507	adult males LEPZQ	adult	whole organism	male	LEPZQ		
ERR573019	adult males LEPZQ	adult	whole organism	male	LEPZQ		
ERR573043	adult males LEPZQ	adult	whole organism	male	LEPZQ		
ERR582499	adult males LEPZQ	adult	whole organism	male	LEPZQ		
ERR582523	adult males LEPZQ	adult	whole organism	male	LEPZQ		
ERR570481	adult males LEPZQ, 1 hour	adult	whole organism	male	LEPZQ	1 hour	Praziquantel
ERR570505	adult males LEPZQ, 1 hour	adult	whole organism	male	LEPZQ	1 hour	Praziquantel
ERR573017	adult males LEPZQ, 1 hour	adult	whole organism	male	LEPZQ	1 hour	Praziquantel
ERR573041	adult males LEPZQ, 1 hour	adult	whole organism	male	LEPZQ	1 hour	Praziquantel
ERR582497	adult males LEPZQ, 1 hour	adult	whole organism	male	LEPZQ	1 hour	Praziquantel
ERR582521	adult males LEPZQ, 1 hour	adult	whole organism	male	LEPZQ	1 hour	Praziquantel
ERR570482	adult males LEPZQ, 12 hours	adult	whole organism	male	LEPZQ	12 hours	Praziquantel
ERR570506	adult males LEPZQ, 12 hours	adult	whole organism	male	LEPZQ	12 hours	Praziquantel
ERR573018	adult males LEPZQ, 12 hours	adult	whole organism	male	LEPZQ	12 hours	Praziquantel
ERR573042	adult males LEPZQ, 12 hours	adult	whole organism	male	LEPZQ	12 hours	Praziquantel
ERR582498	adult males LEPZQ, 12 hours	adult	whole organism	male	LEPZQ	12 hours	Praziquantel
ERR582522	adult males LEPZQ, 12 hours	adult	whole organism	male	LEPZQ	12 hours	Praziquantel
ERR570490	adult males LEPZQ, 24 hours	adult	whole organism	male	LEPZQ	24 hours	Praziquantel
ERR570514	adult males LEPZQ, 24 hours	adult	whole organism	male	LEPZQ	24 hours	Praziquantel
ERR573050	adult males LEPZQ, 24 hours	adult	whole organism	male	LEPZQ	24 hours	Praziquantel
ERR573074	adult males LEPZQ, 24 hours	adult	whole organism	male	LEPZQ	24 hours	Praziquantel
ERR582506	adult males LEPZQ, 24 hours	adult	whole organism	male	LEPZQ	24 hours	Praziquantel
ERR582530	adult males LEPZQ, 24 hours	adult	whole organism	male	LEPZQ	24 hours	Praziquantel
ERR570489	adult males LEPZQ, 3 hours	adult	whole organism	male	LEPZQ	3 hours	Praziquantel
ERR570513	adult males LEPZQ, 3 hours	adult	whole organism	male	LEPZQ	3 hours	Praziquantel
ERR573049	adult males LEPZQ, 3 hours	adult	whole organism	male	LEPZQ	3 hours	Praziquantel
ERR573073	adult males LEPZQ, 3 hours	adult	whole organism	male	LEPZQ	3 hours	Praziquantel
ERR582505	adult males LEPZQ, 3 hours	adult	whole organism	male	LEPZQ	3 hours	Praziquantel
ERR582529	adult males LEPZQ, 3 hours	adult	whole organism	male	LEPZQ	3 hours	Praziquantel
ERR570500	adult males NMRI	adult	whole organism	male	NMRI		
ERR570524	adult males NMRI	adult	whole organism	male	NMRI		
ERR573003	adult males NMRI	adult	whole organism	male	NMRI		
ERR573027	adult males NMRI	adult	whole organism	male	NMRI		
ERR578150	adult males NMRI	adult	whole organism	male	NMRI		
ERR578174	adult males NMRI	adult	whole organism	male	NMRI		
ERR570499	adult males NMRI, 12 hours	adult	whole organism	male	NMRI	12 hours	Praziquantel
ERR570523	adult males NMRI, 12 hours	adult	whole organism	male	NMRI	12 hours	Praziquantel
ERR573002	adult males NMRI, 12 hours	adult	whole organism	male	NMRI	12 hours	Praziquantel
ERR573026	adult males NMRI, 12 hours	adult	whole organism	male	NMRI	12 hours	Praziquantel
ERR578152	adult males NMRI, 12 hours	adult	whole organism	male	NMRI	12 hours	Praziquantel
ERR578176	adult males NMRI, 12 hours	adult	whole organism	male	NMRI	12 hours	Praziquantel
ERR572954	adult males NMRI, 24 hours	adult	whole organism	male	NMRI	24 hours	Praziquantel
ERR572978	adult males NMRI, 24 hours	adult	whole organism	male	NMRI	24 hours	Praziquantel
ERR573011	adult males NMRI, 24 hours	adult	whole organism	male	NMRI	24 hours	Praziquantel
ERR573035	adult males NMRI, 24 hours	adult	whole organism	male	NMRI	24 hours	Praziquantel
ERR578151	adult males NMRI, 24 hours	adult	whole organism	male	NMRI	24 hours	Praziquantel
ERR578175	adult males NMRI, 24 hours	adult	whole organism	male	NMRI	24 hours	Praziquantel
ERR572953	adult males NMRI, 3 hours	adult	whole organism	male	NMRI	3 hours	Praziquantel
ERR572977	adult males NMRI, 3 hours	adult	whole organism	male	NMRI	3 hours	Praziquantel
ERR573010	adult males NMRI, 3 hours	adult	whole organism	male	NMRI	3 hours	Praziquantel
ERR573034	adult males NMRI, 3 hours	adult	whole organism	male	NMRI	3 hours	Praziquantel
ERR578153	adult males NMRI, 3 hours	adult	whole organism	male	NMRI	3 hours	Praziquantel
ERR578177	adult males NMRI, 3 hours	adult	whole organism	male	NMRI	3 hours	Praziquantel
ERR572974	adult males and females LE	adult	whole organism	pooled male and female	LE		
ERR572998	adult males and females LE	adult	whole organism	pooled male and female	LE		
ERR573056	adult males and females LE	adult	whole organism	pooled male and female	LE		
ERR573080	adult males and females LE	adult	whole organism	pooled male and female	LE		
ERR582496	adult males and females LE	adult	whole organism	pooled male and female	LE		
ERR582520	adult males and females LE	adult	whole organism	pooled male and female	LE		
ERR572972	adult males and females LE, 1 hour	adult	whole organism	pooled male and female	LE	1 hour	Praziquantel
ERR572996	adult males and females LE, 1 hour	adult	whole organism	pooled male and female	LE	1 hour	Praziquantel
ERR573060	adult males and females LE, 1 hour	adult	whole organism	pooled male and female	LE	1 hour	Praziquantel
ERR573084	adult males and females LE, 1 hour	adult	whole organism	pooled male and female	LE	1 hour	Praziquantel
ERR582494	adult males and females LE, 1 hour	adult	whole organism	pooled male and female	LE	1 hour	Praziquantel
ERR582518	adult males and females LE, 1 hour	adult	whole organism	pooled male and female	LE	1 hour	Praziquantel
ERR572973	adult males and females LE, 12 hours	adult	whole organism	pooled male and female	LE	12 hours	Praziquantel
ERR572997	adult males and females LE, 12 hours	adult	whole organism	pooled male and female	LE	12 hours	Praziquantel
ERR573058	adult males and females LE, 12 hours	adult	whole organism	pooled male and female	LE	12 hours	Praziquantel
ERR573082	adult males and females LE, 12 hours	adult	whole organism	pooled male and female	LE	12 hours	Praziquantel
ERR582495	adult males and females LE, 12 hours	adult	whole organism	pooled male and female	LE	12 hours	Praziquantel
ERR582519	adult males and females LE, 12 hours	adult	whole organism	pooled male and female	LE	12 hours	Praziquantel
ERR572966	adult males and females LE, 24 hours	adult	whole organism	pooled male and female	LE	24 hours	Praziquantel
ERR572990	adult males and females LE, 24 hours	adult	whole organism	pooled male and female	LE	24 hours	Praziquantel
ERR573057	adult males and females LE, 24 hours	adult	whole organism	pooled male and female	LE	24 hours	Praziquantel
ERR573081	adult males and females LE, 24 hours	adult	whole organism	pooled male and female	LE	24 hours	Praziquantel
ERR582488	adult males and females LE, 24 hours	adult	whole organism	pooled male and female	LE	24 hours	Praziquantel
ERR582512	adult males and females LE, 24 hours	adult	whole organism	pooled male and female	LE	24 hours	Praziquantel
ERR572965	adult males and females LE, 3 hours	adult	whole organism	pooled male and female	LE	3 hours	Praziquantel
ERR572989	adult males and females LE, 3 hours	adult	whole organism	pooled male and female	LE	3 hours	Praziquantel
ERR573059	adult males and females LE, 3 hours	adult	whole organism	pooled male and female	LE	3 hours	Praziquantel
ERR573083	adult males and females LE, 3 hours	adult	whole organism	pooled male and female	LE	3 hours	Praziquantel
ERR578164	adult males and females LE, 3 hours	adult	whole organism	pooled male and female	LE	3 hours	Praziquantel
ERR578188	adult males and females LE, 3 hours	adult	whole organism	pooled male and female	LE	3 hours	Praziquantel
ERR570488	adult males and females LEPZQ	adult	whole organism	pooled male and female	LEPZQ		
ERR570512	adult males and females LEPZQ	adult	whole organism	pooled male and female	LEPZQ		
ERR573048	adult males and females LEPZQ	adult	whole organism	pooled male and female	LEPZQ		
ERR573072	adult males and females LEPZQ	adult	whole organism	pooled male and female	LEPZQ		
ERR582504	adult males and females LEPZQ	adult	whole organism	pooled male and female	LEPZQ		
ERR582528	adult males and females LEPZQ	adult	whole organism	pooled male and female	LEPZQ		
ERR570486	adult males and females LEPZQ, 1 hour	adult	whole organism	pooled male and female	LEPZQ	1 hour	Praziquantel
ERR570510	adult males and females LEPZQ, 1 hour	adult	whole organism	pooled male and female	LEPZQ	1 hour	Praziquantel
ERR573022	adult males and females LEPZQ, 1 hour	adult	whole organism	pooled male and female	LEPZQ	1 hour	Praziquantel
ERR573046	adult males and females LEPZQ, 1 hour	adult	whole organism	pooled male and female	LEPZQ	1 hour	Praziquantel
ERR582502	adult males and females LEPZQ, 1 hour	adult	whole organism	pooled male and female	LEPZQ	1 hour	Praziquantel
ERR582526	adult males and females LEPZQ, 1 hour	adult	whole organism	pooled male and female	LEPZQ	1 hour	Praziquantel
ERR570487	adult males and females LEPZQ, 12 hours	adult	whole organism	pooled male and female	LEPZQ	12 hours	Praziquantel
ERR570511	adult males and females LEPZQ, 12 hours	adult	whole organism	pooled male and female	LEPZQ	12 hours	Praziquantel
ERR573047	adult males and females LEPZQ, 12 hours	adult	whole organism	pooled male and female	LEPZQ	12 hours	Praziquantel
ERR573071	adult males and females LEPZQ, 12 hours	adult	whole organism	pooled male and female	LEPZQ	12 hours	Praziquantel
ERR582503	adult males and females LEPZQ, 12 hours	adult	whole organism	pooled male and female	LEPZQ	12 hours	Praziquantel
ERR582527	adult males and females LEPZQ, 12 hours	adult	whole organism	pooled male and female	LEPZQ	12 hours	Praziquantel
ERR570495	adult males and females LEPZQ, 24 hours	adult	whole organism	pooled male and female	LEPZQ	24 hours	Praziquantel
ERR570519	adult males and females LEPZQ, 24 hours	adult	whole organism	pooled male and female	LEPZQ	24 hours	Praziquantel
ERR573055	adult males and females LEPZQ, 24 hours	adult	whole organism	pooled male and female	LEPZQ	24 hours	Praziquantel
ERR573079	adult males and females LEPZQ, 24 hours	adult	whole organism	pooled male and female	LEPZQ	24 hours	Praziquantel
ERR582511	adult males and females LEPZQ, 24 hours	adult	whole organism	pooled male and female	LEPZQ	24 hours	Praziquantel
ERR582535	adult males and females LEPZQ, 24 hours	adult	whole organism	pooled male and female	LEPZQ	24 hours	Praziquantel
ERR570494	adult males and females LEPZQ, 3 hours	adult	whole organism	pooled male and female	LEPZQ	3 hours	Praziquantel
ERR570518	adult males and females LEPZQ, 3 hours	adult	whole organism	pooled male and female	LEPZQ	3 hours	Praziquantel
ERR573054	adult males and females LEPZQ, 3 hours	adult	whole organism	pooled male and female	LEPZQ	3 hours	Praziquantel
ERR573078	adult males and females LEPZQ, 3 hours	adult	whole organism	pooled male and female	LEPZQ	3 hours	Praziquantel
ERR582510	adult males and females LEPZQ, 3 hours	adult	whole organism	pooled male and female	LEPZQ	3 hours	Praziquantel
ERR582534	adult males and females LEPZQ, 3 hours	adult	whole organism	pooled male and female	LEPZQ	3 hours	Praziquantel
ERR572959	adult males and females NMRI	adult	whole organism	pooled male and female	NMRI		
ERR572983	adult males and females NMRI	adult	whole organism	pooled male and female	NMRI		
ERR573016	adult males and females NMRI	adult	whole organism	pooled male and female	NMRI		
ERR573040	adult males and females NMRI	adult	whole organism	pooled male and female	NMRI		
ERR578141	adult males and females NMRI	adult	whole organism	pooled male and female	NMRI		
ERR578165	adult males and females NMRI	adult	whole organism	pooled male and female	NMRI		
ERR572958	adult males and females NMRI, 12 hours	adult	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR572982	adult males and females NMRI, 12 hours	adult	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR573015	adult males and females NMRI, 12 hours	adult	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR573039	adult males and females NMRI, 12 hours	adult	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR578143	adult males and females NMRI, 12 hours	adult	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR578167	adult males and females NMRI, 12 hours	adult	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR570504	adult males and females NMRI, 24 hours	adult	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR570528	adult males and females NMRI, 24 hours	adult	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR573007	adult males and females NMRI, 24 hours	adult	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR573031	adult males and females NMRI, 24 hours	adult	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR578142	adult males and females NMRI, 24 hours	adult	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR578166	adult males and females NMRI, 24 hours	adult	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR570503	adult males and females NMRI, 3 hours	adult	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR570527	adult males and females NMRI, 3 hours	adult	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR573006	adult males and females NMRI, 3 hours	adult	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR573030	adult males and females NMRI, 3 hours	adult	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR578144	adult males and females NMRI, 3 hours	adult	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR578168	adult males and females NMRI, 3 hours	adult	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR572957	adult males and females NMRI, 30 minutes	adult	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR572981	adult males and females NMRI, 30 minutes	adult	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR573014	adult males and females NMRI, 30 minutes	adult	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR573038	adult males and females NMRI, 30 minutes	adult	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR578145	adult males and females NMRI, 30 minutes	adult	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR578169	adult males and females NMRI, 30 minutes	adult	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR570498	juvenile males and females NMRI	juvenile	whole organism	pooled male and female	NMRI		
ERR570522	juvenile males and females NMRI	juvenile	whole organism	pooled male and female	NMRI		
ERR573001	juvenile males and females NMRI	juvenile	whole organism	pooled male and female	NMRI		
ERR573025	juvenile males and females NMRI	juvenile	whole organism	pooled male and female	NMRI		
ERR578154	juvenile males and females NMRI	juvenile	whole organism	pooled male and female	NMRI		
ERR578178	juvenile males and females NMRI	juvenile	whole organism	pooled male and female	NMRI		
ERR570497	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR570521	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR573000	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR573024	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR578156	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR578180	juvenile males and females NMRI, 12 hours	juvenile	whole organism	pooled male and female	NMRI	12 hours	Praziquantel
ERR572952	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR572976	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR573009	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR573033	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR578155	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR578179	juvenile males and females NMRI, 24 hours	juvenile	whole organism	pooled male and female	NMRI	24 hours	Praziquantel
ERR572951	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR572975	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR573008	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR573032	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR578157	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR578181	juvenile males and females NMRI, 3 hours	juvenile	whole organism	pooled male and female	NMRI	3 hours	Praziquantel
ERR570496	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR570520	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR572999	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR573023	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR578158	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
ERR578182	juvenile males and females NMRI, 30 minutes	juvenile	whole organism	pooled male and female	NMRI	30 minutes	Praziquantel
