Run	Sample	Condition	sample_name
SRR2012785	SAMN03611449	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120222_EMB-0	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120222_EMB-0
SRR2015312	SAMN03650283	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120411_EMB-0	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120411_EMB-0
SRR2015313	SAMN03650283	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120411_EMB-0	Caenorhabditis elegans N2 embryos sampled at 0 minutes library 20120411_EMB-0
SRR2012768	SAMN03611399	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120223_EMB-120	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120223_EMB-120
SRR2012769	SAMN03611399	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120223_EMB-120	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120223_EMB-120
SRR2012770	SAMN03611399	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120223_EMB-120	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120223_EMB-120
SRR2012771	SAMN03611399	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120223_EMB-120	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120223_EMB-120
SRR2015316	SAMN03650353	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120411_EMB-120	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120411_EMB-120
SRR2015317	SAMN03650353	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120411_EMB-120	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120411_EMB-120
SRR2015473	SAMN03650367	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120419_EMB-120	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120419_EMB-120
SRR2015474	SAMN03650367	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120419_EMB-120	Caenorhabditis elegans N2 embryos sampled at 120 minutes library 20120419_EMB-120
SRR2012774	SAMN03611447	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120223_EMB-150	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120223_EMB-150
SRR2012775	SAMN03611447	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120223_EMB-150	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120223_EMB-150
SRR2012776	SAMN03611447	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120223_EMB-150	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120223_EMB-150
SRR2012777	SAMN03611447	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120223_EMB-150	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120223_EMB-150
SRR2015314	SAMN03650352	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120411_EMB-150	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120411_EMB-150
SRR2015315	SAMN03650352	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120411_EMB-150	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120411_EMB-150
SRR2015475	SAMN03650368	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120419_EMB-150	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120419_EMB-150
SRR2015476	SAMN03650368	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120419_EMB-150	Caenorhabditis elegans N2 embryos sampled at 150 minutes library 20120419_EMB-150
SRR2015283	SAMN03650259	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120223_EMB-180	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120223_EMB-180
SRR2015284	SAMN03650259	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120223_EMB-180	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120223_EMB-180
SRR2015285	SAMN03650259	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120223_EMB-180	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120223_EMB-180
SRR2015286	SAMN03650259	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120223_EMB-180	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120223_EMB-180
SRR2015318	SAMN03650354	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120411_EMB-180	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120411_EMB-180
SRR2015319	SAMN03650354	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120411_EMB-180	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120411_EMB-180
SRR2015477	SAMN03650369	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120419_EMB-180	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120419_EMB-180
SRR2015478	SAMN03650369	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120419_EMB-180	Caenorhabditis elegans N2 embryos sampled at 180 minutes library 20120419_EMB-180
SRR2015254	SAMN03650251	Caenorhabditis elegans N2 embryos sampled at 210 minutes library 20120223_EMB-210	Caenorhabditis elegans N2 embryos sampled at 210 minutes library 20120223_EMB-210
SRR2015255	SAMN03650251	Caenorhabditis elegans N2 embryos sampled at 210 minutes library 20120223_EMB-210	Caenorhabditis elegans N2 embryos sampled at 210 minutes library 20120223_EMB-210
SRR2015256	SAMN03650251	Caenorhabditis elegans N2 embryos sampled at 210 minutes library 20120223_EMB-210	Caenorhabditis elegans N2 embryos sampled at 210 minutes library 20120223_EMB-210
SRR2015257	SAMN03650251	Caenorhabditis elegans N2 embryos sampled at 210 minutes library 20120223_EMB-210	Caenorhabditis elegans N2 embryos sampled at 210 minutes library 20120223_EMB-210
SRR2015246	SAMN03650249	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120223_EMB-240	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120223_EMB-240
SRR2015247	SAMN03650249	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120223_EMB-240	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120223_EMB-240
SRR2015248	SAMN03650249	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120223_EMB-240	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120223_EMB-240
SRR2015249	SAMN03650249	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120223_EMB-240	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120223_EMB-240
SRR2015320	SAMN03650355	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120411_EMB-240	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120411_EMB-240
SRR2015321	SAMN03650355	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120411_EMB-240	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120411_EMB-240
SRR2015479	SAMN03650370	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120419_EMB-240	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120419_EMB-240
SRR2015480	SAMN03650370	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120419_EMB-240	Caenorhabditis elegans N2 embryos sampled at 240 minutes library 20120419_EMB-240
SRR2015250	SAMN03650250	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120223_EMB-270	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120223_EMB-270
SRR2015251	SAMN03650250	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120223_EMB-270	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120223_EMB-270
SRR2015252	SAMN03650250	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120223_EMB-270	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120223_EMB-270
SRR2015253	SAMN03650250	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120223_EMB-270	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120223_EMB-270
SRR2015481	SAMN03650371	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120419_EMB-270	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120419_EMB-270
SRR2015482	SAMN03650371	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120419_EMB-270	Caenorhabditis elegans N2 embryos sampled at 270 minutes library 20120419_EMB-270
SRR2012778	SAMN03611448	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120223_EMB-30	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120223_EMB-30
SRR2012779	SAMN03611448	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120223_EMB-30	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120223_EMB-30
SRR2012780	SAMN03611448	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120223_EMB-30	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120223_EMB-30
SRR2012781	SAMN03611448	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120223_EMB-30	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120223_EMB-30
SRR2015330	SAMN03650360	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120419_EMB-30	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120419_EMB-30
SRR2015331	SAMN03650360	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120419_EMB-30	Caenorhabditis elegans N2 embryos sampled at 30 minutes library 20120419_EMB-30
SRR2015275	SAMN03650257	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120223_EMB-300	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120223_EMB-300
SRR2015276	SAMN03650257	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120223_EMB-300	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120223_EMB-300
SRR2015277	SAMN03650257	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120223_EMB-300	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120223_EMB-300
SRR2015278	SAMN03650257	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120223_EMB-300	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120223_EMB-300
SRR2015326	SAMN03650358	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120411_EMB-300	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120411_EMB-300
SRR2015327	SAMN03650358	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120411_EMB-300	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120411_EMB-300
SRR2015483	SAMN03650372	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120419_EMB-300	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120419_EMB-300
SRR2015484	SAMN03650372	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120419_EMB-300	Caenorhabditis elegans N2 embryos sampled at 300 minutes library 20120419_EMB-300
SRR2015259	SAMN03650253	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120223_EMB-330	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120223_EMB-330
SRR2015260	SAMN03650253	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120223_EMB-330	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120223_EMB-330
SRR2015261	SAMN03650253	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120223_EMB-330	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120223_EMB-330
SRR2015262	SAMN03650253	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120223_EMB-330	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120223_EMB-330
SRR2015485	SAMN03650373	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120419_EMB-330	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120419_EMB-330
SRR2015486	SAMN03650373	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120419_EMB-330	Caenorhabditis elegans N2 embryos sampled at 330 minutes library 20120419_EMB-330
SRR2015263	SAMN03650254	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120223_EMB-360	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120223_EMB-360
SRR2015264	SAMN03650254	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120223_EMB-360	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120223_EMB-360
SRR2015265	SAMN03650254	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120223_EMB-360	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120223_EMB-360
SRR2015266	SAMN03650254	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120223_EMB-360	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120223_EMB-360
SRR2015324	SAMN03650357	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120411_EMB-360	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120411_EMB-360
SRR2015325	SAMN03650357	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120411_EMB-360	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120411_EMB-360
SRR2015487	SAMN03650374	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120419_EMB-360	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120419_EMB-360
SRR2015488	SAMN03650374	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120419_EMB-360	Caenorhabditis elegans N2 embryos sampled at 360 minutes library 20120419_EMB-360
SRR2015267	SAMN03650255	Caenorhabditis elegans N2 embryos sampled at 390 minutes library 20120223_EMB-390	Caenorhabditis elegans N2 embryos sampled at 390 minutes library 20120223_EMB-390
SRR2015268	SAMN03650255	Caenorhabditis elegans N2 embryos sampled at 390 minutes library 20120223_EMB-390	Caenorhabditis elegans N2 embryos sampled at 390 minutes library 20120223_EMB-390
SRR2015269	SAMN03650255	Caenorhabditis elegans N2 embryos sampled at 390 minutes library 20120223_EMB-390	Caenorhabditis elegans N2 embryos sampled at 390 minutes library 20120223_EMB-390
SRR2015270	SAMN03650255	Caenorhabditis elegans N2 embryos sampled at 390 minutes library 20120223_EMB-390	Caenorhabditis elegans N2 embryos sampled at 390 minutes library 20120223_EMB-390
SRR2015271	SAMN03650256	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120223_EMB-420	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120223_EMB-420
SRR2015272	SAMN03650256	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120223_EMB-420	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120223_EMB-420
SRR2015273	SAMN03650256	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120223_EMB-420	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120223_EMB-420
SRR2015274	SAMN03650256	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120223_EMB-420	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120223_EMB-420
SRR2015489	SAMN03650375	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120419_EMB-420	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120419_EMB-420
SRR2015490	SAMN03650375	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120419_EMB-420	Caenorhabditis elegans N2 embryos sampled at 420 minutes library 20120419_EMB-420
SRR2015279	SAMN03650258	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120223_EMB-450	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120223_EMB-450
SRR2015280	SAMN03650258	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120223_EMB-450	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120223_EMB-450
SRR2015281	SAMN03650258	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120223_EMB-450	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120223_EMB-450
SRR2015282	SAMN03650258	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120223_EMB-450	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120223_EMB-450
SRR2015491	SAMN03650376	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120419_EMB-450	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120419_EMB-450
SRR2015492	SAMN03650376	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120419_EMB-450	Caenorhabditis elegans N2 embryos sampled at 450 minutes library 20120419_EMB-450
SRR2015287	SAMN03650260	Caenorhabditis elegans N2 embryos sampled at 480 minutes library 20120223_EMB-480	Caenorhabditis elegans N2 embryos sampled at 480 minutes library 20120223_EMB-480
SRR2015288	SAMN03650260	Caenorhabditis elegans N2 embryos sampled at 480 minutes library 20120223_EMB-480	Caenorhabditis elegans N2 embryos sampled at 480 minutes library 20120223_EMB-480
SRR2015289	SAMN03650260	Caenorhabditis elegans N2 embryos sampled at 480 minutes library 20120223_EMB-480	Caenorhabditis elegans N2 embryos sampled at 480 minutes library 20120223_EMB-480
SRR2015290	SAMN03650260	Caenorhabditis elegans N2 embryos sampled at 480 minutes library 20120223_EMB-480	Caenorhabditis elegans N2 embryos sampled at 480 minutes library 20120223_EMB-480
SRR2015291	SAMN03650262	Caenorhabditis elegans N2 embryos sampled at 510 minutes library 20120223_EMB-510	Caenorhabditis elegans N2 embryos sampled at 510 minutes library 20120223_EMB-510
SRR2015292	SAMN03650262	Caenorhabditis elegans N2 embryos sampled at 510 minutes library 20120223_EMB-510	Caenorhabditis elegans N2 embryos sampled at 510 minutes library 20120223_EMB-510
SRR2015293	SAMN03650262	Caenorhabditis elegans N2 embryos sampled at 510 minutes library 20120223_EMB-510	Caenorhabditis elegans N2 embryos sampled at 510 minutes library 20120223_EMB-510
SRR2015294	SAMN03650262	Caenorhabditis elegans N2 embryos sampled at 510 minutes library 20120223_EMB-510	Caenorhabditis elegans N2 embryos sampled at 510 minutes library 20120223_EMB-510
SRR2015297	SAMN03650279	Caenorhabditis elegans N2 embryos sampled at 540 minutes library 20120223_EMB-540	Caenorhabditis elegans N2 embryos sampled at 540 minutes library 20120223_EMB-540
SRR2015298	SAMN03650279	Caenorhabditis elegans N2 embryos sampled at 540 minutes library 20120223_EMB-540	Caenorhabditis elegans N2 embryos sampled at 540 minutes library 20120223_EMB-540
SRR2015299	SAMN03650279	Caenorhabditis elegans N2 embryos sampled at 540 minutes library 20120223_EMB-540	Caenorhabditis elegans N2 embryos sampled at 540 minutes library 20120223_EMB-540
SRR2015300	SAMN03650279	Caenorhabditis elegans N2 embryos sampled at 540 minutes library 20120223_EMB-540	Caenorhabditis elegans N2 embryos sampled at 540 minutes library 20120223_EMB-540
SRR2015306	SAMN03650281	Caenorhabditis elegans N2 embryos sampled at 570 minutes library 20120223_EMB-570	Caenorhabditis elegans N2 embryos sampled at 570 minutes library 20120223_EMB-570
SRR2015307	SAMN03650281	Caenorhabditis elegans N2 embryos sampled at 570 minutes library 20120223_EMB-570	Caenorhabditis elegans N2 embryos sampled at 570 minutes library 20120223_EMB-570
SRR2015308	SAMN03650281	Caenorhabditis elegans N2 embryos sampled at 570 minutes library 20120223_EMB-570	Caenorhabditis elegans N2 embryos sampled at 570 minutes library 20120223_EMB-570
SRR2015309	SAMN03650281	Caenorhabditis elegans N2 embryos sampled at 570 minutes library 20120223_EMB-570	Caenorhabditis elegans N2 embryos sampled at 570 minutes library 20120223_EMB-570
SRR2012786	SAMN03611456	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120223_EMB-60	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120223_EMB-60
SRR2012787	SAMN03611456	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120223_EMB-60	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120223_EMB-60
SRR2012788	SAMN03611456	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120223_EMB-60	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120223_EMB-60
SRR2012789	SAMN03611456	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120223_EMB-60	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120223_EMB-60
SRR2015310	SAMN03650282	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120411_EMB-60	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120411_EMB-60
SRR2015311	SAMN03650282	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120411_EMB-60	Caenorhabditis elegans N2 embryos sampled at 60 minutes library 20120411_EMB-60
SRR2015302	SAMN03650280	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120223_EMB-600	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120223_EMB-600
SRR2015303	SAMN03650280	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120223_EMB-600	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120223_EMB-600
SRR2015304	SAMN03650280	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120223_EMB-600	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120223_EMB-600
SRR2015305	SAMN03650280	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120223_EMB-600	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120223_EMB-600
SRR2015328	SAMN03650359	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120411_EMB-600	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120411_EMB-600
SRR2015329	SAMN03650359	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120411_EMB-600	Caenorhabditis elegans N2 embryos sampled at 600 minutes library 20120411_EMB-600
SRR2012790	SAMN03611457	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120223_EMB-90	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120223_EMB-90
SRR2012791	SAMN03611457	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120223_EMB-90	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120223_EMB-90
SRR2012792	SAMN03611457	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120223_EMB-90	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120223_EMB-90
SRR2012793	SAMN03611457	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120223_EMB-90	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120223_EMB-90
SRR2015322	SAMN03650356	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120411_EMB-90	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120411_EMB-90
SRR2015323	SAMN03650356	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120411_EMB-90	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120411_EMB-90
SRR2015332	SAMN03650361	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120419_EMB-90	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120419_EMB-90
SRR2015333	SAMN03650361	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120419_EMB-90	Caenorhabditis elegans N2 embryos sampled at 90 minutes library 20120419_EMB-90
SRR085465	SAMN00149689	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 12hrs RNA sample 2	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 12hrs RNA sample 2
SRR085466	SAMN00149689	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 12hrs RNA sample 2	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 12hrs RNA sample 2
SRR085467	SAMN00149689	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 12hrs RNA sample 2	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 12hrs RNA sample 2
SRR089302	SAMN00189281	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 5hrs RNA sample 1	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 5hrs RNA sample 1
SRR089303	SAMN00189281	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 5hrs RNA sample 1	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 5hrs RNA sample 1
SRR089304	SAMN00189281	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 5hrs RNA sample 1	Caenorhabditis elegans N2 exposed to Drechmeria coniospora 5hrs RNA sample 1
SRR089358	SAMN00189309	Caenorhabditis elegans N2 exposed to Enterococcus faecali 24hrs RNA sample 1	Caenorhabditis elegans N2 exposed to Enterococcus faecali 24hrs RNA sample 1
SRR089359	SAMN00189309	Caenorhabditis elegans N2 exposed to Enterococcus faecali 24hrs RNA sample 1	Caenorhabditis elegans N2 exposed to Enterococcus faecali 24hrs RNA sample 1
SRR089360	SAMN00189309	Caenorhabditis elegans N2 exposed to Enterococcus faecali 24hrs RNA sample 1	Caenorhabditis elegans N2 exposed to Enterococcus faecali 24hrs RNA sample 1
SRR089361	SAMN00189310	Caenorhabditis elegans N2 exposed to Photorhabdus luminescens 24hrs RNA sample 2	Caenorhabditis elegans N2 exposed to Photorhabdus luminescens 24hrs RNA sample 2
SRR089362	SAMN00189310	Caenorhabditis elegans N2 exposed to Photorhabdus luminescens 24hrs RNA sample 2	Caenorhabditis elegans N2 exposed to Photorhabdus luminescens 24hrs RNA sample 2
SRR089363	SAMN00189310	Caenorhabditis elegans N2 exposed to Photorhabdus luminescens 24hrs RNA sample 2	Caenorhabditis elegans N2 exposed to Photorhabdus luminescens 24hrs RNA sample 2
SRR493099	SAMN00990575	Caenorhabditis elegans N2 hand-picked 4 cell embryos - ribo-zero treated library 1	Caenorhabditis elegans N2 hand-picked 4 cell embryos - ribo-zero treated library 1
SRR493100	SAMN00990575	Caenorhabditis elegans N2 hand-picked 4 cell embryos - ribo-zero treated library 1	Caenorhabditis elegans N2 hand-picked 4 cell embryos - ribo-zero treated library 1
SRR137925	SAMN00249950	Caenorhabditis elegans N2 larval L1 (lin-35) RNA library L1LIN35-1 array capture 1	Caenorhabditis elegans N2 larval L1 (lin-35) RNA library L1LIN35-1 array capture 1
SRR139094	SAMN00249950	Caenorhabditis elegans N2 larval L1 (lin-35) RNA library L1LIN35-1 array capture 1	Caenorhabditis elegans N2 larval L1 (lin-35) RNA library L1LIN35-1 array capture 1
SRR089821	SAMN00189496	Caenorhabditis elegans N2 larval L1 RNA biological replicate L1-1	Caenorhabditis elegans N2 larval L1 RNA biological replicate L1-1
SRR089822	SAMN00189496	Caenorhabditis elegans N2 larval L1 RNA biological replicate L1-1	Caenorhabditis elegans N2 larval L1 RNA biological replicate L1-1
SRR089823	SAMN00189496	Caenorhabditis elegans N2 larval L1 RNA biological replicate L1-1	Caenorhabditis elegans N2 larval L1 RNA biological replicate L1-1
SRR473299	SRR473299	Caenorhabditis elegans N2 larval L1 all cells - DSN treated library FGSR401	Caenorhabditis elegans N2 larval L1 all cells - DSN treated library FGSR401
SRR473085	SRR473085	Caenorhabditis elegans N2 larval L1 all cells - DSN treated library FGSR402	Caenorhabditis elegans N2 larval L1 all cells - DSN treated library FGSR402
SRR493076	SRR493076	Caenorhabditis elegans N2 larval L1 all cells - total RNA - library FGSR401	Caenorhabditis elegans N2 larval L1 all cells - total RNA - library FGSR401
SRR493079	SRR493079	Caenorhabditis elegans N2 larval L1 all cells - total RNA - library FGSR402	Caenorhabditis elegans N2 larval L1 all cells - total RNA - library FGSR402
SRR2054404	SAMN03764219	Caenorhabditis elegans N2 larval L1 reference cells library FGSR236 DMM236_N2all_L1.	Caenorhabditis elegans N2 larval L1 reference cells library FGSR236 DMM236_N2all_L1.
SRR2054405	SAMN03764219	Caenorhabditis elegans N2 larval L1 reference cells library FGSR236 DMM236_N2all_L1.	Caenorhabditis elegans N2 larval L1 reference cells library FGSR236 DMM236_N2all_L1.
