Run	Sample	Condition	sample_name
SRR2054401	SAMN03764217	Caenorhabditis elegans IX823 larval L2 AFD thermosensory neuron library FGSR234 DMM234_AFD-nrn_L2.	Caenorhabditis elegans IX823 larval L2 AFD thermosensory neuron library FGSR234 DMM234_AFD-nrn_L2.
SRR2054451	SAMN03764235	Caenorhabditis elegans IX823 larval L2 AFD thermosensory neuron library FGSR319 DMM319_AFD-nrn_L2.	Caenorhabditis elegans IX823 larval L2 AFD thermosensory neuron library FGSR319 DMM319_AFD-nrn_L2.
SRR2054452	SAMN03764235	Caenorhabditis elegans IX823 larval L2 AFD thermosensory neuron library FGSR319 DMM319_AFD-nrn_L2.	Caenorhabditis elegans IX823 larval L2 AFD thermosensory neuron library FGSR319 DMM319_AFD-nrn_L2.
SRR2054434	SAMN03764229	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.
SRR2054435	SAMN03764229	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.
SRR2054436	SAMN03764229	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.
SRR2054437	SAMN03764229	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.
SRR2054438	SAMN03764229	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR288 DMM288_seam_Em.
SRR2054439	SAMN03764230	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.
SRR2054440	SAMN03764230	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.
SRR2054441	SAMN03764230	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.
SRR2054442	SAMN03764230	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.
SRR2054443	SAMN03764230	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.	Caenorhabditis elegans JR667 embryonic seam cells DSN treated total RNA library FGSR295 DMM295_seam_Em.
SRR504336	SAMN01036919	Caenorhabditis elegans LX837 larval L1 NSM neuron DSN treated library FGSR389 - DMM389_NSM_L1-DSN	Caenorhabditis elegans LX837 larval L1 NSM neuron DSN treated library FGSR389 - DMM389_NSM_L1-DSN
SRR504337	SAMN01036919	Caenorhabditis elegans LX837 larval L1 NSM neuron DSN treated library FGSR389 - DMM389_NSM_L1-DSN	Caenorhabditis elegans LX837 larval L1 NSM neuron DSN treated library FGSR389 - DMM389_NSM_L1-DSN
SRR578035	SAMN01036919	Caenorhabditis elegans LX837 larval L1 NSM neuron DSN treated library FGSR389 - DMM389_NSM_L1-DSN	Caenorhabditis elegans LX837 larval L1 NSM neuron DSN treated library FGSR389 - DMM389_NSM_L1-DSN
SRR1611854	SAMN00854526	Caenorhabditis elegans LX837 larval L1 NSML and NSMR neurons total RNA library	Caenorhabditis elegans LX837 larval L1 NSML and NSMR neurons total RNA library
SRR474827	SAMN00854526	Caenorhabditis elegans LX837 larval L1 NSML and NSMR neurons total RNA library	Caenorhabditis elegans LX837 larval L1 NSML and NSMR neurons total RNA library
SRR493077	SRR493077	Caenorhabditis elegans LX837 larval L1 NSML and NSMR neurons total RNA library FGSR387	Caenorhabditis elegans LX837 larval L1 NSML and NSMR neurons total RNA library FGSR387
SRR2043250	SAMN03742052	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR206.	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR206.
SRR2043251	SAMN03742052	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR206.	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR206.
SRR2043252	SAMN03742052	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR206.	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR206.
SRR2043253	SAMN03742052	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR206.	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR206.
SRR2043262	SAMN03742055	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR216 DMM216_BAG-nrn_EE.	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR216 DMM216_BAG-nrn_EE.
SRR2043263	SAMN03742055	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR216 DMM216_BAG-nrn_EE.	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR216 DMM216_BAG-nrn_EE.
SRR2043264	SAMN03742055	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR216 DMM216_BAG-nrn_EE.	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR216 DMM216_BAG-nrn_EE.
SRR2043265	SAMN03742055	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR216 DMM216_BAG-nrn_EE.	Caenorhabditis elegans MT17370 early embryo BAG neurons DSN treated total RNA library FGSR216 DMM216_BAG-nrn_EE.
SRR316754	SRR316754	Caenorhabditis elegans N2 4 cell embryos DSN-Negative RNA library	Caenorhabditis elegans N2 4 cell embryos DSN-Negative RNA library
SRR316755	SAMN00678266	Caenorhabditis elegans N2 4 cell embryos DSN-Positive RNA library	Caenorhabditis elegans N2 4 cell embryos DSN-Positive RNA library
SRR316756	SAMN00678266	Caenorhabditis elegans N2 4 cell embryos DSN-Positive RNA library	Caenorhabditis elegans N2 4 cell embryos DSN-Positive RNA library
SRR089352	SAMN00189308	Caenorhabditis elegans N2 control for Drechmeria coniospora exposed to E. coli OP50 12hrs RNA sample 2	Caenorhabditis elegans N2 control for Drechmeria coniospora exposed to E. coli OP50 12hrs RNA sample 2
SRR089353	SAMN00189308	Caenorhabditis elegans N2 control for Drechmeria coniospora exposed to E. coli OP50 12hrs RNA sample 2	Caenorhabditis elegans N2 control for Drechmeria coniospora exposed to E. coli OP50 12hrs RNA sample 2
SRR089354	SAMN00189308	Caenorhabditis elegans N2 control for Drechmeria coniospora exposed to E. coli OP50 12hrs RNA sample 2	Caenorhabditis elegans N2 control for Drechmeria coniospora exposed to E. coli OP50 12hrs RNA sample 2
SRR2054479	SAMN03764265	Caenorhabditis elegans N2 early embryo	Caenorhabditis elegans N2 early embryo
SRR2054480	SAMN03764265	Caenorhabditis elegans N2 early embryo	Caenorhabditis elegans N2 early embryo
SRR332921	SAMN00710421	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library
SRR332922	SAMN00710421	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library
SRR350954	SAMN00710421	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library
SRR350955	SAMN00710421	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library
SRR359063	SAMN00710421	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library
SRR478539	SAMN00710421	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library	Caenorhabditis elegans N2 early embryo EE_50-0 RNA library
SRR316753	SAMN00678264	Caenorhabditis elegans N2 early embryo EE_50-120 RNA library	Caenorhabditis elegans N2 early embryo EE_50-120 RNA library
SRR317082	SAMN00678264	Caenorhabditis elegans N2 early embryo EE_50-120 RNA library	Caenorhabditis elegans N2 early embryo EE_50-120 RNA library
SRR350977	SAMN00678264	Caenorhabditis elegans N2 early embryo EE_50-120 RNA library	Caenorhabditis elegans N2 early embryo EE_50-120 RNA library
SRR351023	SAMN00737864	Caenorhabditis elegans N2 early embryo EE_50-150 RNA library	Caenorhabditis elegans N2 early embryo EE_50-150 RNA library
SRR351024	SAMN00737864	Caenorhabditis elegans N2 early embryo EE_50-150 RNA library	Caenorhabditis elegans N2 early embryo EE_50-150 RNA library
SRR351009	SRR351009	Caenorhabditis elegans N2 early embryo EE_50-180 RNA library	Caenorhabditis elegans N2 early embryo EE_50-180 RNA library
SRR351025	SAMN00737865	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library
