biosample	run_accession	sex	host_organism	genotype_of_experiment_host	genotype_of_passage_host	tissue	treatment	strain	developmental_stage	condition
SAMN37187597	SRR25994634	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_female
SAMN37187597	SRR25994632	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_female
SAMN37187597	SRR25994633	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_female
SAMN37187597	SRR25994636	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_female
SAMN37187597	SRR25994637	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_female
SAMN37187598	SRR25994666	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_male
SAMN37187598	SRR25994671	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_male
SAMN37187598	SRR25994670	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_male
SAMN37187598	SRR25994667	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_male
SAMN37187598	SRR25994669	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_male
SAMN37187598	SRR25994668	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_0d_from_rat	MIMR	adult	In_vitro_0d_r_male
