# Gene expression in TPM for each run in  study ERP000948
	ERR048962	ERR048970	ERR048972	ERR048961	ERR048967	ERR048969	ERR048974	ERR048964	ERR048963	ERR048971	ERR048973	ERR048965
WBGene00220552	13.37	15.33	18.43	42.12	56.12	52.75	44.24	107.05	13.53	15.68	21.93	28.1
WBGene00220554	0	0	0	20.53	3.37	2.17	0	36.64	0	0	0	3.89
WBGene00220555	27.1	45.05	49.67	514.91	5.67	5.83	416.86	0	109.87	137.73	107.89	3.14
WBGene00220556	7.55	11.14	9.12	2.71	16.66	12.36	5.2	117.95	5.26	5.92	5.09	0
WBGene00220557	28.7	25.87	31.53	37.46	33.57	41.39	31.86	238.22	12.14	17.88	13.49	29.94
WBGene00220561	2.73	3.38	3.48	12.66	15.6	23.25	33.59	6.78	7.26	3.33	6.93	20.15
WBGene00220563	0	0	0	16.95	7.16	3.68	11.97	186.69	1.39	0	0	3.3
WBGene00220564	11.53	31.43	27.59	13.37	43.51	20.32	7.93	0	24.53	16.86	32.62	18.24
WBGene00220566	2.19	0	0	43.24	7.52	7.08	2.18	81.7	0.97	0	0	5.78
WBGene00220568	10.02	7.98	10.73	61.57	4.5	7.15	0.44	53.33	0.95	0	0.78	0.38
WBGene00220573	6.73	8.34	7.33	21.46	16.67	12.51	23.48	36.21	5.96	5.46	4.07	8.87
WBGene00220576	4.79	1.08	5	22.23	12.7	14.97	184.17	22.72	35.9	44.58	44.07	6.2
WBGene00220579	19.5	19.33	20.26	1.62	19.11	10.31	1.92	0	5.93	4.07	2.42	3.53
WBGene00220580	6.4	13.21	9.19	17.31	42.06	33.82	52.32	0	31.19	21.43	39.44	13.5
WBGene00220581	10.44	22.63	18.73	149.83	17.9	18.4	4.79	0	6.94	9.54	0	8.26
WBGene00220582	10.5	7.2	9.52	22.81	21.08	28.36	31.01	13.32	9.21	14.3	9.73	35.72
WBGene00220584	2.87	3.3	3.73	0.24	2.28	2.17	0.07	9.92	0.14	0.19	0	0
WBGene00220585	21.25	11.8	11.57	70.97	2.51	12.27	101.82	0	104.24	128.55	114.8	19.71
WBGene00220588	49.58	49.49	56.36	18.37	2.36	3.64	135.32	41.05	58.6	61.67	63.69	3.27
WBGene00220589	7.62	14.16	13.57	40.25	11.61	10.81	14.94	69.38	5.06	5.41	6.45	15.4
WBGene00220590	17.47	19.74	15.98	2.68	29.08	21.28	13.08	57.43	6.15	4.69	2.8	0.81
WBGene00220594	2.62	1.62	2.88	21.55	20.64	13.6	46.86	183.28	4.17	1.91	4.27	3.73
WBGene00220596	13.24	13.89	24.87	33.09	13.98	7.18	10.75	0	2.71	7.45	7.76	27.4
WBGene00220598	34.63	38.62	44.9	2.19	8.64	16.37	3.83	16.42	1.26	0	1.03	1.49
WBGene00220599	42.8	51.27	59.75	21.51	33.04	44.63	71.98	5.32	36.99	43.02	38.03	57.57
WBGene00220600	0	35.57	12.49	49.94	22.38	13.8	2.39	0	13.88	19.08	11.36	4.13
WBGene00220601	0	0	0	1047.4	0	0	2.96	0	0	0	0	13.97
WBGene00220602	9.72	9.64	12.1	16.91	6.67	8.57	29.43	0	10.34	14.21	2.12	0
WBGene00220608	17.14	19.56	19.54	31.49	11.89	13.4	35.28	0	19.46	19	21.37	17.06
WBGene00220609	96.79	93.89	102.14	92.02	96.97	101.47	65.36	196.32	40.54	31.92	31.88	62.76
WBGene00220610	11.78	8.11	13.36	22.01	57.61	55.35	41.51	403.07	16.24	13.55	11.39	20.02
WBGene00220614	3.58	2.96	0.57	0.69	4.1	3.16	2.19	0	7.94	2.18	2.6	1.89
WBGene00220615	3.38	16.75	12.94	64.05	52.19	51.63	18.6	335.89	56.93	63.84	73.56	17.83
WBGene00220617	0	0	0	405.77	5.67	3.88	2.53	221.69	0	0	0	6.97
WBGene00220618	0.38	0	0	127.22	1.29	1.32	0.26	61.58	0	0	0	1.19
WBGene00220619	64.53	66.31	50.47	135.1	496.76	228.16	87.34	38455.37	34.53	31.64	23.98	58.53
WBGene00220620	5.76	7.93	5.21	2.23	12.07	7.33	10.71	114.42	7.66	7.02	5.57	6.07
WBGene00220621	0.14	0.52	0.34	7.92	4.59	4.1	26.97	56.68	0	0	0	0.22
WBGene00220624	0.61	3.76	1.45	3.52	20.83	19.79	13.09	230.74	5.65	2.22	3.3	3.84
WBGene00220625	0.6	2.23	1.15	1.05	11.34	7.94	0.14	71.66	0.8	0	0	2.85
WBGene00220626	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220627	0	2.12	0.82	4.46	0	0.75	8.82	6.37	0	0	0	0
WBGene00220628	14.37	14.09	11.17	9.37	15.4	13.19	859.06	8.92	2.39	2.19	3.91	7.58
WBGene00220631	36.06	37.23	38.83	11.33	20.62	25.16	0.69	0	4	2.75	8.17	19.02
WBGene00220632	0	0	0	3.39	0	0	0	0	0	0	0	0
WBGene00220633	1.87	0	5.37	6.51	3.21	1.65	0	0	0	0	0	0
WBGene00220634	0	0	0.3	0	2.18	1.12	3.35	4.74	0	0	0.69	0
WBGene00220635	1.92	6.36	2.76	23.05	11	10.73	3.82	14.33	3.41	3.52	5.58	1.01
WBGene00220636	0	0	0	20.49	2.75	1.06	0.46	68.81	0	0	0	0.64
WBGene00220637	124.23	139.07	151.24	45.19	102.8	103.22	60.97	28.42	42.74	55.76	50.39	64.66
WBGene00220638	0	0	0	117.28	0	0.41	0	0	0	0	0	1.48
WBGene00220641	0	0	0	0	0	0	4.06	0	0	0	0	0
WBGene00220643	39.91	43.45	63.66	42.78	14.52	19.18	142.53	9.01	118.98	106.08	127.63	114.81
WBGene00220644	30.39	15.85	27.56	12.06	49.38	35.23	32.27	23.84	38.28	32.15	33.06	17.71
WBGene00220645	4.43	9.15	10.6	1.71	22.79	14.96	0	165.03	0	0	0	1.17
WBGene00220646	10	5.42	6.28	21.02	12.86	18.72	64.63	0	42.38	43.4	44.2	2.97
WBGene00220649	0	0	0	152.28	0	0	1.6	0	0	1.28	0	3.31
WBGene00220652	18.59	24.81	26.7	2.9	14.72	17.64	20.33	0	11.41	10.46	9.34	1.13
WBGene00220654	4.34	1.07	3.32	3.02	16.36	13.76	25.06	0	14.99	4.76	16.04	15.1
WBGene00220655	44.61	45.43	51.69	45.73	103.79	104.9	40.01	24.69	28.19	40.77	29.08	75.83
WBGene00220658	0	0	0	1.07	3.15	6.47	2.95	0	0	3.36	0	0
WBGene00220659	111.48	122.34	127.08	50.26	106.54	105.41	72.12	157.6	67.77	62.79	63.66	101.45
WBGene00220660	0	0	1.12	2.03	4	11.31	5.62	0	9.31	8.53	7.62	1.85
WBGene00220661	0.76	0.95	1.83	13.71	3.93	4.03	16.79	17.05	7.1	8.36	5.81	0
WBGene00220664	64.32	127.85	135.96	31.86	27.58	33.06	24.58	59.92	17.82	51.43	36.45	99.65
WBGene00220665	0.26	0	0.13	2.3	2.72	0.47	5.4	1.97	0.35	0.97	0.29	0
WBGene00220666	147.74	162.33	170.36	118.5	132.2	138.49	56.05	191.14	76.73	63.42	76.34	66.65
WBGene00220668	9.4	6.52	12.6	18.54	28.38	27.18	23.72	2.8	9.5	12.37	12.28	21.42
WBGene00220669	598.06	565.02	596.35	1837.24	1072.6	1049.48	1304.8	7.67	1628.6	1512.49	1606.05	3100.33
WBGene00220671	0	0.62	1.67	0.29	0.86	2.2	2.06	0	1.33	0.91	1.09	0.79
WBGene00220672	45.91	38.68	50.09	8.52	97.64	76.05	5.9	0	12.21	10.07	4	11.62
WBGene00220673	3.23	2.67	2.58	1.88	0	4.75	3.71	0	1.43	0	1.17	0
WBGene00220675	3.38	12.57	9.17	26.14	21.26	10.92	18.86	8.4	11.99	6.18	23.29	3.57
WBGene00220676	2.41	5.37	2.3	38.25	0.83	1.7	23.4	17.94	12.8	22.87	11.52	0
WBGene00220678	62.25	75.63	78.63	59.33	133.67	136.28	74.85	26.97	46.83	47.18	49.09	72.15
WBGene00220679	76.07	83.97	87.76	53.75	71.79	81.23	56.14	4.95	30.03	28.53	24.04	62.55
WBGene00220681	8.19	4.51	9.14	2.64	17.16	8.02	8.34	0	0	1.66	2.97	4.32
WBGene00220682	15.69	38.1	22.83	9.1	21.53	27.65	33.24	28.06	6.68	5.73	12.29	14.9
WBGene00220683	16.93	20.98	26.62	1.4	4.15	6.39	2.22	0	0	0	2.63	0
WBGene00220684	0	0	0	2.64	0	0	23.52	0	7.58	4.17	11.16	0
WBGene00220685	26.33	23.96	25.4	51.78	195.49	179.84	202.85	113.45	28.45	27.82	24.62	28.65
WBGene00220688	212.57	251.38	259.38	470.33	533.72	542.87	415.69	0	402.34	454.1	472.49	449.97
WBGene00220694	6.04	7.49	7.04	5.14	19	16.51	12.84	91.56	7.23	2.58	5.04	10.2
WBGene00220695	23.71	26.71	28.89	23.75	36.98	22.8	28.67	481.93	2.87	11.82	21.11	61.4
WBGene00220696	5.98	10.19	7.15	103.61	56.41	44.13	127.86	194.95	27.83	30.05	28.46	16.56
WBGene00220698	0	0	0	49.64	0	0.92	0.72	19.45	0	0	0	0
WBGene00220702	2.58	1.6	0	7.47	4.42	4.54	1.77	28.79	5.14	4.71	7.01	0
WBGene00220704	71.08	50.91	63.91	105.09	126.86	116.59	43.72	0	55.18	63.08	53.2	137.83
WBGene00220706	376.1	426.85	425.28	315.11	372.78	400.01	669.59	246.96	354.53	357.75	354.7	231.7
WBGene00220707	699.47	754.38	834.85	1389.52	243.24	233.96	1217.1	0	990.92	972.37	946.66	384.67
WBGene00220711	30.99	21.76	35.1	20.37	70.87	60.98	23.21	0	17.85	28.32	19.11	1.63
WBGene00220712	14.35	16.17	13.11	83.24	40.28	34.49	138.22	0	27.76	59.61	42.59	22.71
WBGene00220713	1.71	3.18	4.09	64.45	39.59	28.62	17.64	101.93	26.14	26.56	30.69	22.99
WBGene00220714	0	0.67	0	38.97	1.86	1.91	1.62	32.3	0	3.96	0	0
WBGene00220716	0	3.94	3.04	1.84	7.26	23.32	15.78	0	1.41	0	1.15	6.7
WBGene00220718	0	1.28	0.5	0.6	0	2.74	8.56	0	2.76	3.79	3.38	0
WBGene00220719	1.3	0	0	0	0	0	0	9.72	0	0	0	0
WBGene00220720	2.16	5.34	3.1	0.63	1.85	0.95	3.46	0	25.79	37.43	35.18	0
WBGene00220721	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220722	0	1.4	0	0.65	0	0	0.78	0	1.5	0	4.9	0
WBGene00220735	430.51	478.48	544.03	114.09	153.49	142.08	62.67	24.03	79.32	88.4	82.45	136.49
WBGene00220736	253.37	226.39	229.82	35.32	73.66	78.09	32.5	14.55	41.52	52.8	39.5	15.44
WBGene00220737	68.91	57.98	66.7	164.03	100.11	88.14	64.2	444.53	54.01	54.04	48.12	224.98
WBGene00220738	0	0	0	4.47	1.89	0	0.76	0	0	0	0	0
WBGene00220740	26.22	30.81	29.64	222.61	94.61	95.22	258.14	0	155.68	160.29	172.66	33.62
WBGene00220742	50.73	82.86	108.16	50.82	83.07	56.9	65.04	0	12.26	37.93	22.58	65.68
WBGene00220743	124.74	189	234.72	89.93	47.13	45.64	90.16	0	58.36	51.37	65.97	81.45
WBGene00220744	16.53	13.65	8.96	15.98	81.26	79.61	8.84	0	4.39	12.08	7.19	1.74
WBGene00220745	983.36	1054.03	1054.36	25.61	644.71	671.38	38.11	0	19.46	23.73	28.51	87.42
WBGene00220746	44.31	41.02	39.85	40.38	92.7	75.08	99.59	18.14	33.66	40.04	36.02	8.47
WBGene00220748	2.84	4.92	4.62	450.09	9.74	6	2.47	0	2.26	1.04	4.94	9.88
WBGene00220749	3.13	3.43	3.97	19.24	3.71	4.77	0.33	31.35	0	0.44	0.13	1.52
WBGene00220750	1.31	1.08	1.25	41.04	17.98	17.32	5.61	260.43	0.58	0	1.43	1.38
WBGene00220751	0	0	0	31.75	3.54	0.91	11.61	0	1.37	5.66	1.12	1.63
WBGene00220752	6.52	1.62	1.87	7.57	49.24	13.8	8.38	6242.29	5.2	9.54	2.84	0
WBGene00220753	57	66.52	67.31	117.36	147.63	154.5	169.7	172.94	107.82	104.63	106.97	126.1
WBGene00220756	25.64	32.39	38.36	28.88	49.96	55.5	38.93	129.86	23.17	30.03	23.29	49.24
WBGene00220757	392.86	331.2	335.21	376.02	255.88	256.36	505.39	45.64	422.27	432.54	458.85	282.43
WBGene00220759	0	0	0	1.64	0	2.5	1.95	0	0	0	0	0
WBGene00220761	266.17	260.43	253.88	140.57	167.79	175.94	129.02	25.2	255.46	234.64	255.67	158.75
WBGene00220762	66.52	59.53	60.58	86.27	103	122.12	29.87	0	74.93	97.93	94.49	111.1
WBGene00220763	0	0	0.23	39.22	1.25	0.43	9.2	9.06	1.29	1.33	1.85	0
WBGene00220767	0	0	0	0	0	0	3.34	0	0	0	0	0
WBGene00220768	354.33	342.9	360.2	190.58	497.45	509.3	364.19	92.76	277.47	270.7	303.36	385.36
WBGene00220770	0	0.7	0.27	146.77	4.82	4.46	15.34	58.67	2.24	3.08	3.06	2.67
WBGene00220775	0	2.19	0	1.03	0	1.56	0.81	0	0	0	0	0
WBGene00220777	0	0	0	9.33	0	0	58.38	0	0	0	0	0
WBGene00220780	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220783	43.65	45.27	47.23	1.1	26.86	20.9	1.2	169.71	0	0	0	2.25
WBGene00220787	21.02	29.05	23.99	10.78	102.61	89.76	20.02	108.43	10.75	4.43	8.8	6.4
WBGene00220789	3.37	4.7	5.44	8.55	7.95	8.54	8.89	0	2.8	4.62	5.04	6.67
WBGene00220791	23.02	24.13	19.49	115.53	22.78	21.85	80.4	0	30.61	46.92	38.53	18.21
WBGene00220794	8.41	9.06	10.67	232.3	41.37	37.68	47.68	0	55.88	64.12	52.89	13.88
WBGene00220797	10.87	10.41	7.57	3.73	22.89	15.24	8.27	0	14.45	10.84	10.22	0
WBGene00220798	0	0	0	7.37	0	0	0	0	0	0	0	0
WBGene00220799	1.45	0.9	0.7	13.08	12.48	5.77	9.17	0	1.93	7.98	7.12	5.75
WBGene00220801	87.7	106.81	130.93	15.61	53.85	60.16	18.17	0	11.93	12.75	9.76	37.85
WBGene00220802	44.19	43.02	28.7	33.41	21.66	27.12	44.15	35.28	62.95	59.13	61.82	254.71
WBGene00220805	21.39	16.86	17.68	12.4	23.35	35.98	1.34	0	10.34	7.11	4.23	64.61
WBGene00220806	34.97	38.83	46.3	34.24	67.77	69.64	96.33	77.84	24.76	29.05	35.58	12.22
WBGene00220807	3.54	9.2	6.51	3.31	4.51	8.26	5.69	25.55	2.43	3.13	2.86	5.97
WBGene00220808	0	0	0	3.29	0	0	18.19	0	0	0	0	0
WBGene00220809	0	0	0.1	78.07	1.12	0.77	0.95	8.1	0	0.79	0.24	1.38
WBGene00220812	0	0	0.22	2.4	3.15	0	24.11	75.26	3.05	3.36	1.5	0
WBGene00220817	11.33	12.3	11.39	24.58	44.76	36.9	11.91	43.64	11.68	12.79	10.39	21.35
WBGene00220819	0	0	0.14	21.52	1	0	0	37.02	0	0	0	0.92
WBGene00220820	0	0	0.63	119.89	1.14	2.34	5.32	0	0.88	1.21	2.16	5.24
WBGene00220823	7.24	6.52	14.49	13.74	5.64	21.46	1.66	0	46.38	21.65	2.15	36.45
WBGene00220825	1.15	0	0	20.73	0	1.02	0	0	0	0	0	1.82
WBGene00220828	34.22	53.37	48.36	61.63	59.38	54.63	221.07	0	91.52	115.5	102.49	12.74
WBGene00220829	59.99	46.26	62.4	65.68	77.69	63.11	99.37	9.12	44.76	40.27	54.61	29.06
WBGene00220831	5.34	1.1	2.98	3.1	9.17	9.42	2.04	0	4.74	1.63	8.72	4.23
