# Differential expression analysis for study ERP0009481 contrast  across:sex. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !Adult female vs Adult male: Adult male - low replicates (1)
	!Adult female vs Adult male
WBGene00220621	-4.51
WBGene00220635	-2.59
WBGene00220636	-8.24
WBGene00220637	1.73
WBGene00220638	-10.54
WBGene00220645	2.36
WBGene00220646	-1.43
WBGene00220649	-10.34
WBGene00220652	3.13
WBGene00220659	1.38
WBGene00220661	-3.32
WBGene00220664	1.89
WBGene00220666	0.56
WBGene00220669	-1.52
WBGene00220672	2.52
WBGene00220676	-3.47
WBGene00220679	0.74
WBGene00220682	1.59
WBGene00220685	-0.92
WBGene00220688	-0.84
WBGene00220696	-3.67
WBGene00220698	-9.14
WBGene00220704	-0.63
WBGene00220706	0.50
WBGene00220707	-0.74
WBGene00220712	-2.42
WBGene00220713	-4.24
WBGene00220714	-7.67
WBGene00220735	2.21
WBGene00220736	2.87
WBGene00220737	-1.22
WBGene00220740	-2.83
WBGene00220743	1.13
WBGene00220745	5.45
WBGene00220748	-6.65
WBGene00220749	-2.33
WBGene00220750	-4.96
WBGene00220751	-7.51
WBGene00220753	-0.76
WBGene00220761	1.01
WBGene00220763	-8.25
WBGene00220768	1.01
WBGene00220770	-8.88
WBGene00220783	5.49
WBGene00220787	1.30
WBGene00220791	-2.27
WBGene00220794	-4.50
WBGene00220799	-3.63
WBGene00220801	2.91
WBGene00220809	-10.12
WBGene00220812	-4.03
WBGene00220817	-0.96
WBGene00220819	-7.85
WBGene00220820	-8.43
WBGene00220834	1.52
WBGene00220836	-1.94
WBGene00220840	4.40
WBGene00220845	2.41
WBGene00220846	2.59
WBGene00220849	1.30
WBGene00220854	-7.95
WBGene00220860	-5.43
WBGene00220866	1.89
WBGene00220873	-6.64
WBGene00220879	-4.95
WBGene00220880	2.69
WBGene00220881	-2.82
WBGene00220882	-1.27
WBGene00220885	-2.30
WBGene00220886	6.16
WBGene00220887	-4.03
WBGene00220890	-2.19
WBGene00220891	-2.39
WBGene00220896	-3.09
WBGene00220897	3.94
WBGene00220898	0.98
WBGene00220914	-10.68
WBGene00220920	-6.32
WBGene00220922	-2.96
WBGene00220928	-2.31
WBGene00220929	2.30
WBGene00220935	-8.47
WBGene00220939	-2.59
WBGene00220944	4.14
WBGene00220949	2.08
WBGene00220954	-1.53
WBGene00220956	1.70
WBGene00220975	-0.65
WBGene00220980	2.38
WBGene00220981	-3.87
WBGene00220982	4.91
WBGene00220985	-0.57
WBGene00220986	-4.33
WBGene00220990	-0.61
WBGene00220996	-1.65
WBGene00221009	-2.54
WBGene00221016	0.64
WBGene00221054	2.41
WBGene00221057	-3.81
WBGene00221059	2.10
WBGene00221076	1.49
WBGene00221077	-7.11
WBGene00221078	5.31
WBGene00221079	6.35
WBGene00221083	-1.29
WBGene00221089	-1.12
WBGene00221090	-3.95
WBGene00221094	-2.00
WBGene00221095	-8.29
WBGene00221097	-2.68
WBGene00221103	-6.16
WBGene00221117	-0.90
WBGene00221119	-5.12
WBGene00221120	-1.03
WBGene00221121	-4.96
WBGene00221125	-2.28
WBGene00221137	-11.65
WBGene00221138	-0.78
WBGene00221140	0.67
WBGene00221144	-2.54
WBGene00221146	-2.93
WBGene00221162	-6.87
WBGene00221169	-2.35
WBGene00221205	-11.86
WBGene00221211	-3.92
WBGene00221212	-1.95
WBGene00221217	0.68
WBGene00221226	0.95
WBGene00221231	-4.31
WBGene00221239	-6.76
WBGene00221241	-0.83
WBGene00221242	-5.37
WBGene00221255	-3.02
WBGene00221266	-3.53
WBGene00221267	-2.27
WBGene00221268	1.67
WBGene00221272	-5.49
WBGene00221274	1.10
WBGene00221276	5.29
WBGene00221277	3.40
WBGene00221278	-1.54
WBGene00221282	3.49
WBGene00221284	-0.87
WBGene00221286	-2.43
WBGene00221290	-7.45
WBGene00221291	-0.81
WBGene00221295	2.23
WBGene00221296	-1.80
WBGene00221297	-2.56
WBGene00221303	-1.64
WBGene00221310	-0.82
WBGene00221312	0.88
WBGene00221322	-3.43
WBGene00221323	-3.63
WBGene00221324	-5.77
WBGene00221325	-4.31
WBGene00221328	-5.40
WBGene00221329	-8.53
WBGene00221332	-8.85
WBGene00221334	-7.11
WBGene00221336	-8.51
WBGene00221338	-3.89
WBGene00221339	-8.16
WBGene00221342	-9.76
WBGene00221344	-3.67
WBGene00221347	-5.68
WBGene00221348	-5.22
WBGene00221349	-5.07
WBGene00221350	-6.83
WBGene00221354	-1.75
WBGene00221355	-10.97
WBGene00221358	-4.64
WBGene00221360	-7.18
WBGene00221361	-5.46
WBGene00221362	-7.34
WBGene00221366	-9.18
WBGene00221367	-6.94
WBGene00221368	-6.06
WBGene00221370	-4.15
WBGene00221371	0.58
WBGene00221373	-7.34
WBGene00221374	-5.29
WBGene00221375	-3.88
WBGene00221376	-8.01
WBGene00221378	-1.74
WBGene00221381	-5.28
WBGene00221383	-9.32
WBGene00221385	-1.04
WBGene00221399	-7.63
WBGene00221400	-5.68
WBGene00221404	-9.11
WBGene00221407	-7.99
WBGene00221408	-7.31
WBGene00221409	-8.26
WBGene00221410	-5.48
WBGene00221412	-5.62
WBGene00221414	-6.55
WBGene00221415	-8.40
WBGene00221421	-3.98
WBGene00221424	-7.14
WBGene00221425	-7.99
WBGene00221427	-7.67
WBGene00221437	-6.68
WBGene00221438	2.86
WBGene00221439	-3.46
WBGene00221442	-6.59
WBGene00221443	-0.53
WBGene00221446	-8.35
WBGene00221448	-6.03
WBGene00221453	-5.43
WBGene00221454	-3.40
WBGene00221455	-9.41
WBGene00221457	-7.34
WBGene00221462	-2.46
WBGene00221463	-1.94
WBGene00221465	-7.98
WBGene00221468	-3.53
WBGene00221469	-4.55
WBGene00221470	-6.63
WBGene00221476	-3.34
WBGene00221480	-2.64
WBGene00221485	-5.63
WBGene00221489	-8.93
WBGene00221490	-3.77
WBGene00221492	-7.85
WBGene00221495	-7.58
WBGene00221496	-6.25
WBGene00221500	-6.64
WBGene00221501	-7.28
WBGene00221503	-5.08
WBGene00221507	-4.83
WBGene00221508	-7.48
WBGene00221509	-8.38
WBGene00221512	-2.75
WBGene00221521	-5.46
WBGene00221529	-2.25
WBGene00221531	-5.93
WBGene00221533	-2.62
WBGene00221543	-2.84
WBGene00221552	-8.40
WBGene00221554	-7.76
WBGene00221555	-6.87
WBGene00221556	-7.06
WBGene00221558	-2.76
WBGene00221559	-3.51
WBGene00221572	-5.14
WBGene00221575	-4.68
WBGene00221586	-6.48
WBGene00221587	-3.64
WBGene00221595	-6.33
WBGene00221596	-5.27
WBGene00221597	-4.26
WBGene00221598	-4.74
WBGene00221600	-5.07
WBGene00221601	-6.91
WBGene00221602	-9.72
WBGene00221606	-9.84
WBGene00221607	-6.72
WBGene00221615	-4.53
WBGene00221623	-1.39
WBGene00221624	-8.09
WBGene00221627	-5.31
WBGene00221628	-2.70
WBGene00221629	-3.03
WBGene00221631	-2.98
WBGene00221640	-6.74
WBGene00221641	-10.16
WBGene00221644	-4.41
WBGene00221645	-6.58
WBGene00221646	-3.96
WBGene00221647	-4.84
WBGene00221648	-7.62
WBGene00221654	-7.57
WBGene00221656	-8.72
WBGene00221657	-6.91
WBGene00221658	-9.76
WBGene00221659	-6.43
WBGene00221666	-2.65
WBGene00221673	-7.69
WBGene00221674	-7.86
WBGene00221676	-3.26
WBGene00221677	-5.04
WBGene00221684	-5.12
WBGene00221686	-2.29
WBGene00221688	-3.62
WBGene00221693	-6.54
WBGene00221698	-0.85
WBGene00221699	-7.25
WBGene00221701	-5.55
WBGene00221702	-2.69
WBGene00221705	-5.08
WBGene00221706	-3.60
WBGene00221707	-5.91
WBGene00221708	-6.63
WBGene00221713	-4.24
WBGene00221718	1.06
WBGene00221720	-6.65
WBGene00221722	-7.08
WBGene00221723	1.57
WBGene00221727	-7.18
WBGene00221728	-1.32
WBGene00221734	1.57
WBGene00221741	-2.32
WBGene00221746	-6.43
WBGene00221747	-5.84
WBGene00221753	0.69
WBGene00221757	-2.50
WBGene00221768	-4.78
WBGene00221769	-0.49
WBGene00221770	1.68
WBGene00221777	-4.52
WBGene00221779	-3.52
WBGene00221780	-10.13
WBGene00221784	-7.59
WBGene00221790	-11.88
WBGene00221795	-3.03
WBGene00221796	-5.42
WBGene00221798	-1.14
WBGene00221802	-2.44
WBGene00221804	2.37
WBGene00221809	-6.74
WBGene00221810	-1.24
WBGene00221812	-7.37
WBGene00221813	-9.50
WBGene00221814	-6.64
WBGene00221817	-7.03
WBGene00221820	-3.39
WBGene00221821	-3.58
WBGene00221822	-6.87
WBGene00221823	-10.44
WBGene00221824	-2.46
WBGene00221829	-2.37
WBGene00221830	-7.14
WBGene00221835	-6.59
WBGene00221836	-0.84
WBGene00221838	-5.76
WBGene00221839	-2.60
WBGene00221840	0.60
WBGene00221841	-1.55
WBGene00221842	-7.14
WBGene00221848	-2.74
WBGene00221849	-3.00
WBGene00221850	0.72
WBGene00221851	-5.86
WBGene00221853	-1.26
WBGene00221854	-2.96
WBGene00221857	1.55
WBGene00221859	-5.07
WBGene00221860	-2.87
WBGene00221865	-7.83
WBGene00221870	-6.33
WBGene00221872	-5.76
WBGene00221883	-8.03
WBGene00221885	-4.73
WBGene00221889	-4.52
WBGene00221890	1.09
WBGene00221899	-9.35
WBGene00221904	-7.37
WBGene00221906	-7.31
WBGene00221907	-7.84
WBGene00221908	-7.37
WBGene00221916	-8.17
WBGene00221917	-3.23
WBGene00221928	0.46
WBGene00221929	0.72
WBGene00221931	-2.08
WBGene00221932	-4.18
WBGene00221934	-1.23
WBGene00221935	-1.02
WBGene00221938	-1.90
WBGene00221940	-3.38
WBGene00221943	-1.33
WBGene00221944	-2.68
WBGene00221945	-1.27
WBGene00221950	0.80
WBGene00221951	1.38
WBGene00221952	-0.90
WBGene00221954	1.99
WBGene00221955	0.51
WBGene00221956	2.62
WBGene00221957	0.58
WBGene00221959	-2.83
WBGene00221960	-2.54
WBGene00221962	-2.14
WBGene00221963	0.28
WBGene00221964	-0.67
WBGene00221965	-3.48
WBGene00221966	0.41
WBGene00221969	-0.62
WBGene00221970	-8.72
WBGene00221974	-2.53
WBGene00221977	0.83
WBGene00221979	1.20
WBGene00221981	-2.96
WBGene00221982	-1.81
WBGene00221984	0.97
WBGene00221985	-2.84
WBGene00221986	-0.57
WBGene00221988	0.85
WBGene00221990	1.72
WBGene00221991	0.84
WBGene00221992	1.76
WBGene00221993	-0.72
WBGene00221994	-1.16
WBGene00221995	-1.15
WBGene00221996	1.51
WBGene00221998	-0.90
WBGene00221999	3.84
WBGene00222002	1.77
WBGene00222003	2.71
WBGene00222004	0.61
WBGene00222007	1.66
WBGene00222009	-0.42
WBGene00222010	1.20
WBGene00222012	4.02
WBGene00222013	-0.98
WBGene00222014	-4.40
WBGene00222015	-2.19
WBGene00222016	-0.86
WBGene00222018	1.12
WBGene00222019	0.95
WBGene00222020	1.43
WBGene00222022	-1.61
WBGene00222023	2.34
WBGene00222026	-3.32
WBGene00222027	-1.62
WBGene00222031	1.22
WBGene00222032	-1.26
WBGene00222035	1.49
WBGene00222037	-1.56
WBGene00222039	1.55
WBGene00222040	-0.29
WBGene00222042	-1.39
WBGene00222044	0.43
WBGene00222045	0.57
WBGene00222046	-6.65
WBGene00222047	4.38
WBGene00222048	-1.81
WBGene00222049	2.32
WBGene00222050	-0.67
WBGene00222055	-3.66
WBGene00222057	-4.29
WBGene00222058	-0.83
WBGene00222059	0.90
WBGene00222060	1.90
WBGene00222061	-2.01
WBGene00222063	1.76
WBGene00222064	-0.93
WBGene00222065	-0.52
WBGene00222066	-0.42
WBGene00222067	1.46
WBGene00222069	0.41
WBGene00222070	-1.73
WBGene00222072	1.39
WBGene00222073	-1.39
WBGene00222074	1.48
WBGene00222076	-1.93
WBGene00222077	0.47
WBGene00222078	1.04
WBGene00222079	2.12
WBGene00222080	1.07
WBGene00222081	1.24
WBGene00222082	-1.04
WBGene00222084	-0.47
WBGene00222086	-2.02
WBGene00222087	-0.42
WBGene00222088	-2.15
WBGene00222090	1.07
WBGene00222093	-10.09
WBGene00222094	-2.77
WBGene00222095	-0.64
WBGene00222096	-0.63
WBGene00222097	1.43
WBGene00222099	-0.65
WBGene00222100	2.16
WBGene00222101	0.64
WBGene00222103	-0.37
WBGene00222104	-0.41
WBGene00222105	-4.06
WBGene00222106	1.07
WBGene00222108	2.07
WBGene00222109	1.33
WBGene00222110	-0.78
WBGene00222111	-1.05
WBGene00222112	-2.26
WBGene00222114	1.77
WBGene00222115	3.00
WBGene00222116	-0.40
WBGene00222119	-1.04
WBGene00222121	-0.55
WBGene00222124	0.95
WBGene00222125	-0.69
WBGene00222127	-0.65
WBGene00222128	1.93
WBGene00222130	2.51
WBGene00222134	1.24
WBGene00222135	1.86
WBGene00222136	1.47
WBGene00222137	0.80
WBGene00222139	1.64
WBGene00222140	0.46
WBGene00222141	1.46
WBGene00222143	0.68
WBGene00222145	0.70
WBGene00222146	1.79
WBGene00222148	-0.57
WBGene00222149	2.16
WBGene00222151	0.67
WBGene00222152	2.28
WBGene00222154	0.81
WBGene00222155	1.83
WBGene00222157	6.08
WBGene00222159	2.56
WBGene00222160	-1.76
WBGene00222162	1.85
WBGene00222164	0.51
WBGene00222166	-2.11
WBGene00222168	-2.53
WBGene00222169	0.43
WBGene00222170	-1.48
WBGene00222171	1.71
WBGene00222175	1.88
WBGene00222177	1.23
WBGene00222178	1.72
WBGene00222179	-9.54
WBGene00222180	0.75
WBGene00222181	1.81
WBGene00222183	-2.17
WBGene00222186	2.39
WBGene00222188	2.12
WBGene00222191	1.65
WBGene00222193	-2.27
WBGene00222195	1.22
WBGene00222197	-0.38
WBGene00222200	-2.91
WBGene00222204	0.34
WBGene00222205	1.74
WBGene00222208	4.22
WBGene00222210	-0.78
WBGene00222213	-0.80
WBGene00222214	-0.51
WBGene00222217	5.14
WBGene00222218	-2.86
WBGene00222220	-0.45
WBGene00222221	1.59
WBGene00222222	-0.80
WBGene00222223	-1.48
WBGene00222224	0.78
WBGene00222227	-0.65
WBGene00222230	-2.56
WBGene00222231	1.78
WBGene00222232	1.34
WBGene00222233	1.06
WBGene00222234	-0.83
WBGene00222235	2.55
WBGene00222236	3.89
WBGene00222238	1.22
WBGene00222239	0.71
WBGene00222240	-0.43
WBGene00222241	1.04
WBGene00222242	-1.86
WBGene00222243	2.16
WBGene00222246	-0.48
WBGene00222247	2.68
WBGene00222253	-1.56
WBGene00222256	0.58
WBGene00222257	-0.55
WBGene00222259	1.29
WBGene00222260	1.33
WBGene00222262	0.58
WBGene00222263	2.22
WBGene00222265	-0.96
WBGene00222267	0.51
WBGene00222269	0.75
WBGene00222270	-1.78
WBGene00222272	2.72
WBGene00222273	0.78
WBGene00222274	-0.37
WBGene00222275	-0.32
WBGene00222276	0.60
WBGene00222277	1.75
WBGene00222278	3.99
WBGene00222280	2.11
WBGene00222283	-1.00
WBGene00222285	0.49
WBGene00222286	-1.27
WBGene00222287	-0.43
WBGene00222288	-1.90
WBGene00222289	-1.25
WBGene00222290	-0.92
WBGene00222291	-1.02
WBGene00222293	-1.14
WBGene00222295	-7.24
WBGene00222296	1.86
WBGene00222298	1.92
WBGene00222299	1.58
WBGene00222300	1.96
WBGene00222303	-1.25
WBGene00222304	1.97
WBGene00222309	-3.47
WBGene00222310	-1.87
WBGene00222311	1.97
WBGene00222312	4.04
WBGene00222314	-1.38
WBGene00222315	-1.29
WBGene00222318	2.11
WBGene00222319	0.42
WBGene00222323	1.15
WBGene00222325	-0.80
WBGene00222326	0.95
WBGene00222328	3.45
WBGene00222329	-1.16
WBGene00222331	2.88
WBGene00222332	2.72
WBGene00222333	2.10
WBGene00222334	-0.57
WBGene00222336	-0.93
WBGene00222338	-5.09
WBGene00222339	5.53
WBGene00222340	-2.54
WBGene00222341	-1.32
WBGene00222342	0.79
WBGene00222344	-2.78
WBGene00222345	-0.92
WBGene00222346	0.62
WBGene00222347	-0.90
WBGene00222351	-5.47
WBGene00222353	-2.08
WBGene00222354	-2.01
WBGene00222355	-1.62
WBGene00222356	-1.08
WBGene00222360	1.46
WBGene00222361	0.92
WBGene00222362	3.01
WBGene00222365	-1.42
WBGene00222366	-5.62
WBGene00222370	0.53
WBGene00222377	1.20
WBGene00222378	-9.93
WBGene00222379	0.57
WBGene00222380	2.64
WBGene00222381	2.64
WBGene00222384	-4.59
WBGene00222385	3.43
WBGene00222386	-1.30
WBGene00222389	1.96
WBGene00222390	1.59
WBGene00222391	-1.41
WBGene00222392	1.78
WBGene00222395	-0.68
WBGene00222396	-3.06
WBGene00222397	1.06
WBGene00222398	-1.39
WBGene00222400	6.27
WBGene00222401	1.61
WBGene00222406	-3.75
WBGene00222407	0.91
WBGene00222408	-1.41
WBGene00222409	2.29
WBGene00222410	-1.43
WBGene00222411	2.05
WBGene00222412	-1.86
WBGene00222414	1.06
WBGene00222415	0.35
WBGene00222416	-1.22
WBGene00222417	0.68
WBGene00222418	3.72
WBGene00222419	0.89
WBGene00222422	0.91
WBGene00222423	5.85
WBGene00222424	-1.94
WBGene00222425	3.10
WBGene00222426	1.30
WBGene00222427	-0.88
WBGene00222428	0.66
WBGene00222429	-2.60
WBGene00222431	-1.99
WBGene00222433	1.20
WBGene00222436	0.65
WBGene00222437	0.77
WBGene00222440	1.39
WBGene00222441	3.44
WBGene00222442	-0.95
WBGene00222443	-1.00
WBGene00222444	1.22
WBGene00222445	-9.56
WBGene00222446	-0.50
WBGene00222447	-1.15
WBGene00222448	-0.79
WBGene00222450	2.55
WBGene00222452	0.82
WBGene00222454	-1.32
WBGene00222456	-4.38
WBGene00222458	-1.39
WBGene00222459	-3.18
WBGene00222462	-0.76
WBGene00222463	4.22
WBGene00222464	1.26
WBGene00222465	1.39
WBGene00222469	-0.36
WBGene00222470	1.33
WBGene00222473	-1.35
WBGene00222474	-1.32
WBGene00222475	2.28
WBGene00222477	-2.36
WBGene00222478	-2.15
WBGene00222479	1.84
WBGene00222480	0.79
WBGene00222481	-3.82
WBGene00222482	-0.90
WBGene00222485	1.92
WBGene00222486	0.72
WBGene00222488	1.68
WBGene00222491	1.43
WBGene00222492	-2.84
WBGene00222494	0.84
WBGene00222495	-0.50
WBGene00222500	0.70
WBGene00222502	3.84
WBGene00222505	-2.76
WBGene00222506	1.35
WBGene00222508	1.08
WBGene00222509	-0.93
WBGene00222510	2.43
WBGene00222513	-0.61
WBGene00222516	-3.22
WBGene00222518	-2.45
WBGene00222519	1.21
WBGene00222520	3.18
WBGene00222522	-0.42
WBGene00222523	2.92
WBGene00222524	-1.73
WBGene00222525	2.89
WBGene00222527	-1.88
WBGene00222529	1.91
WBGene00222530	-1.04
WBGene00222532	-1.04
WBGene00222534	2.06
WBGene00222535	2.45
WBGene00222538	0.78
WBGene00222539	-0.90
WBGene00222542	-0.85
WBGene00222543	-9.69
WBGene00222546	-2.12
WBGene00222547	-2.24
WBGene00222548	0.94
WBGene00222549	1.12
WBGene00222559	1.35
WBGene00222560	1.65
WBGene00222562	2.34
WBGene00222563	2.04
WBGene00222564	-2.17
WBGene00222565	-1.65
WBGene00222566	0.48
WBGene00222568	1.64
WBGene00222569	-0.33
WBGene00222570	1.73
WBGene00222573	-4.14
WBGene00222574	2.51
WBGene00222575	-2.09
WBGene00222576	-2.36
WBGene00222578	0.85
WBGene00222580	1.77
WBGene00222581	-1.02
WBGene00222582	0.36
WBGene00222584	0.65
WBGene00222585	-0.83
WBGene00222586	-1.69
WBGene00222588	-2.60
WBGene00222590	1.83
WBGene00222591	2.37
WBGene00222592	-0.94
WBGene00222594	-1.70
WBGene00222595	1.87
WBGene00222596	-0.91
WBGene00222597	-1.15
WBGene00222599	-1.31
WBGene00222600	1.34
WBGene00222601	-1.19
WBGene00222602	-1.71
WBGene00222603	-0.96
WBGene00222605	1.30
WBGene00222606	-0.88
WBGene00222607	-2.98
WBGene00222608	-9.00
WBGene00222609	-1.80
WBGene00222613	1.05
WBGene00222617	0.87
WBGene00222618	0.45
WBGene00222619	2.44
WBGene00222620	0.46
WBGene00222621	-1.16
WBGene00222624	1.78
WBGene00222625	-2.94
WBGene00222626	-1.10
WBGene00222628	-9.44
WBGene00222631	2.81
WBGene00222632	-1.88
WBGene00222633	2.26
WBGene00222636	-2.02
WBGene00222637	1.23
WBGene00222638	-5.45
WBGene00222641	-7.08
WBGene00222643	1.96
WBGene00222644	-2.28
WBGene00222645	1.12
WBGene00222648	4.33
WBGene00222649	1.93
WBGene00222650	1.92
WBGene00222651	-0.58
WBGene00222653	-4.11
WBGene00222654	1.52
WBGene00222655	-2.24
WBGene00222656	0.75
WBGene00222657	-9.37
WBGene00222659	0.40
WBGene00222661	1.14
WBGene00222662	1.81
WBGene00222664	1.18
WBGene00222665	0.80
WBGene00222666	1.60
WBGene00222667	0.72
WBGene00222669	-1.60
WBGene00222671	-0.74
WBGene00222674	0.95
WBGene00222676	1.60
WBGene00222677	0.95
WBGene00222679	1.48
WBGene00222680	1.59
WBGene00222682	-0.93
WBGene00222684	-0.77
WBGene00222685	-1.53
WBGene00222687	0.53
WBGene00222688	0.63
WBGene00222689	1.00
WBGene00222690	1.21
WBGene00222691	-0.70
WBGene00222692	-1.93
WBGene00222693	1.82
WBGene00222694	1.54
WBGene00222695	0.87
WBGene00222696	-2.44
WBGene00222697	-0.74
WBGene00222698	-1.73
WBGene00222699	0.88
WBGene00222700	-1.82
WBGene00222701	2.51
WBGene00222702	-2.79
WBGene00222703	0.85
WBGene00222705	1.17
WBGene00222706	6.29
WBGene00222707	-1.16
WBGene00222708	-1.50
WBGene00222710	-0.79
WBGene00222711	1.68
WBGene00222714	-3.44
WBGene00222717	0.84
WBGene00222718	2.00
WBGene00222720	0.59
WBGene00222722	-1.21
WBGene00222723	-3.57
WBGene00222724	0.50
WBGene00222725	-0.72
WBGene00222727	3.95
WBGene00222731	0.66
WBGene00222732	0.54
WBGene00222734	0.45
WBGene00222735	-2.11
WBGene00222739	-1.81
WBGene00222740	-5.45
WBGene00222744	-0.76
WBGene00222745	-2.15
WBGene00222747	0.51
WBGene00222748	-1.80
WBGene00222749	2.49
WBGene00222753	-1.21
WBGene00222754	1.22
WBGene00222756	-1.18
WBGene00222757	1.83
WBGene00222758	-1.62
WBGene00222759	-1.73
WBGene00222761	0.69
WBGene00222762	2.16
WBGene00222765	-1.37
WBGene00222766	2.01
WBGene00222767	-3.40
WBGene00222768	1.70
WBGene00222770	1.39
WBGene00222771	-1.81
WBGene00222772	-0.94
WBGene00222773	-0.96
WBGene00222774	1.30
WBGene00222776	-0.61
WBGene00222777	1.08
WBGene00222778	1.06
WBGene00222779	-1.12
WBGene00222780	1.08
WBGene00222782	1.14
WBGene00222785	2.05
WBGene00222789	2.68
WBGene00222790	-1.60
WBGene00222791	-1.09
WBGene00222792	2.37
WBGene00222793	-3.02
WBGene00222795	-2.12
WBGene00222797	6.50
WBGene00222798	0.81
WBGene00222800	1.62
WBGene00222801	3.34
WBGene00222802	3.16
WBGene00222807	-1.16
WBGene00222811	-3.14
WBGene00222813	-3.53
WBGene00222814	-1.83
WBGene00222817	-0.77
WBGene00222818	-2.53
WBGene00222819	0.78
WBGene00222820	4.57
WBGene00222821	0.44
WBGene00222822	0.95
WBGene00222823	-0.65
WBGene00222824	-1.05
WBGene00222828	1.92
WBGene00222829	-3.42
WBGene00222831	-6.59
WBGene00222832	0.73
WBGene00222833	0.89
WBGene00222834	1.35
WBGene00222835	0.76
WBGene00222836	-3.83
WBGene00222837	1.36
WBGene00222838	2.29
WBGene00222839	0.79
WBGene00222840	0.38
WBGene00222845	1.30
WBGene00222846	-1.01
WBGene00222848	-2.17
WBGene00222849	-1.72
WBGene00222850	1.94
WBGene00222851	2.41
WBGene00222852	-0.62
WBGene00222853	1.43
WBGene00222854	-0.76
WBGene00222855	-1.69
WBGene00222856	3.45
WBGene00222858	2.97
WBGene00222861	-2.87
WBGene00222864	-2.49
WBGene00222866	1.26
WBGene00222867	0.79
WBGene00222868	-2.35
WBGene00222869	-3.25
WBGene00222871	1.29
WBGene00222873	1.98
WBGene00222874	-2.05
WBGene00222876	-11.79
WBGene00222877	-1.19
WBGene00222878	-0.57
WBGene00222879	-1.37
WBGene00222881	-1.55
WBGene00222882	-2.26
WBGene00222883	0.93
WBGene00222884	-0.93
WBGene00222887	-2.01
WBGene00222888	-1.58
WBGene00222889	-1.81
WBGene00222890	2.07
WBGene00222891	1.77
WBGene00222892	0.74
WBGene00222893	-0.85
WBGene00222894	0.89
WBGene00222895	-5.43
WBGene00222900	-6.40
WBGene00222901	-1.46
WBGene00222902	-4.95
WBGene00222903	1.04
WBGene00222904	2.72
WBGene00222907	-1.83
WBGene00222911	1.79
WBGene00222912	3.81
WBGene00222913	1.89
WBGene00222918	-7.93
WBGene00222919	1.49
WBGene00222920	3.56
WBGene00222921	-0.95
WBGene00222922	0.89
WBGene00222924	3.42
WBGene00222926	-1.57
WBGene00222928	-0.81
WBGene00222929	-2.34
WBGene00222932	4.07
WBGene00222936	0.87
WBGene00222937	0.55
WBGene00222938	-12.88
WBGene00222940	-4.70
WBGene00222943	-7.47
WBGene00222944	2.40
WBGene00222945	-1.70
WBGene00222946	-1.40
WBGene00222947	-2.50
