# Differential expression analysis for study ERP0009481 contrast  across:biosourceprovider. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !L3 vs L3 (GA sample): L3 (GA sample) - low replicates (1). L3 - low replicates (1)
	!L3 vs L3 (GA sample)
WBGene00222197	2.46
WBGene00222199	9.14
WBGene00222200	-1.63
WBGene00222204	-1.57
WBGene00222205	3.78
WBGene00222207	1.70
WBGene00222208	-2.58
WBGene00222209	5.12
WBGene00222211	6.63
WBGene00222213	1.90
WBGene00222215	6.01
WBGene00222216	-2.60
WBGene00222220	-2.27
WBGene00222221	7.41
WBGene00222224	8.17
WBGene00222225	3.26
WBGene00222227	-2.15
WBGene00222230	-4.91
WBGene00222231	-1.88
WBGene00222232	-0.73
WBGene00222233	1.33
WBGene00222234	-3.34
WBGene00222235	-2.62
WBGene00222238	-1.82
WBGene00222239	-2.10
WBGene00222240	3.69
WBGene00222241	6.30
WBGene00222242	-5.06
WBGene00222243	2.51
WBGene00222244	4.40
WBGene00222246	4.46
WBGene00222247	7.07
WBGene00222248	-3.16
WBGene00222251	-3.76
WBGene00222253	-2.81
WBGene00222254	-4.23
WBGene00222255	4.28
WBGene00222257	1.49
WBGene00222258	1.79
WBGene00222259	-1.93
WBGene00222260	-1.96
WBGene00222261	-4.69
WBGene00222262	12.82
WBGene00222263	-2.24
WBGene00222264	-2.76
WBGene00222265	3.32
WBGene00222267	1.72
WBGene00222269	-4.96
WBGene00222273	-1.32
WBGene00222275	2.07
WBGene00222276	8.10
WBGene00222277	4.45
WBGene00222279	1.60
WBGene00222280	5.65
WBGene00222285	2.92
WBGene00222287	-2.93
WBGene00222288	3.70
WBGene00222289	-1.06
WBGene00222290	7.14
WBGene00222291	1.77
WBGene00222293	-1.54
WBGene00222294	3.58
WBGene00222295	-3.81
WBGene00222296	8.48
WBGene00222299	3.54
WBGene00222300	6.99
WBGene00222301	4.60
WBGene00222303	3.48
WBGene00222304	3.15
WBGene00222311	1.45
WBGene00222314	1.99
WBGene00222316	-1.77
WBGene00222317	1.69
WBGene00222318	-0.61
WBGene00222319	-3.61
WBGene00222321	-0.81
WBGene00222322	-1.11
WBGene00222323	6.45
WBGene00222324	3.54
WBGene00222328	2.86
WBGene00222329	-3.25
WBGene00222330	1.36
WBGene00222332	-3.49
WBGene00222334	3.01
WBGene00222337	-2.17
WBGene00222340	3.49
WBGene00222341	9.01
WBGene00222342	2.80
WBGene00222344	3.42
WBGene00222345	7.85
WBGene00222346	7.19
WBGene00222349	6.32
WBGene00222350	6.43
WBGene00222353	0.60
WBGene00222354	2.55
WBGene00222355	-9.26
WBGene00222356	6.94
WBGene00222357	-1.19
WBGene00222359	-6.60
WBGene00222360	-2.32
WBGene00222361	-2.51
WBGene00222362	-2.86
WBGene00222363	-3.09
WBGene00222365	1.91
WBGene00222366	-10.87
WBGene00222367	1.91
WBGene00222368	7.09
WBGene00222370	4.45
WBGene00222371	-1.28
WBGene00222373	-4.73
WBGene00222374	2.36
WBGene00222376	4.09
WBGene00222378	-6.92
WBGene00222379	1.08
WBGene00222380	-0.92
WBGene00222381	-1.56
WBGene00222382	1.99
WBGene00222384	4.74
WBGene00222385	-5.56
WBGene00222387	-2.01
WBGene00222388	0.58
WBGene00222389	-1.83
WBGene00222391	-2.03
WBGene00222392	-0.96
WBGene00222395	3.93
WBGene00222397	3.62
WBGene00222398	3.95
WBGene00222400	5.91
WBGene00222401	4.57
WBGene00222403	-1.05
WBGene00222406	-3.37
WBGene00222409	-0.90
WBGene00222410	3.92
WBGene00222412	2.67
WBGene00222413	6.06
WBGene00222414	1.45
WBGene00222417	2.43
WBGene00222418	5.97
WBGene00222419	-1.33
WBGene00222422	4.02
WBGene00222424	7.21
WBGene00222425	-2.61
WBGene00222427	6.65
WBGene00222428	9.76
WBGene00222429	-1.43
WBGene00222433	2.82
WBGene00222434	-2.03
WBGene00222436	1.99
WBGene00222438	4.92
WBGene00222442	1.51
WBGene00222443	-1.43
WBGene00222444	-1.71
WBGene00222445	-6.01
WBGene00222446	9.16
WBGene00222447	1.87
WBGene00222448	6.07
WBGene00222450	-1.51
WBGene00222451	-2.21
WBGene00222452	-3.35
WBGene00222454	-2.85
WBGene00222456	1.34
WBGene00222458	5.01
WBGene00222459	6.33
WBGene00222460	-2.88
WBGene00222461	-1.05
WBGene00222462	-3.06
WBGene00222464	3.53
WBGene00222465	2.08
WBGene00222466	3.10
WBGene00222468	6.13
WBGene00222469	3.20
WBGene00222470	-1.80
WBGene00222471	2.48
WBGene00222472	4.93
WBGene00222473	-1.74
WBGene00222474	0.67
WBGene00222475	-1.45
WBGene00222476	-1.20
WBGene00222477	9.34
WBGene00222478	4.67
WBGene00222481	-6.09
WBGene00222482	8.21
WBGene00222484	8.49
WBGene00222486	-1.55
WBGene00222488	-1.06
WBGene00222489	9.60
WBGene00222490	5.16
WBGene00222491	-2.06
WBGene00222492	5.42
WBGene00222494	3.18
WBGene00222495	-1.99
WBGene00222496	2.81
WBGene00222497	-2.95
WBGene00222498	3.07
WBGene00222499	2.08
WBGene00222500	-0.68
WBGene00222502	-3.03
WBGene00222503	3.55
WBGene00222504	-1.08
WBGene00222505	-0.86
WBGene00222506	-5.63
WBGene00222507	-2.88
WBGene00222508	7.56
WBGene00222509	-2.16
WBGene00222511	1.73
WBGene00222516	5.93
WBGene00222518	-3.37
WBGene00222519	-1.85
WBGene00222520	4.60
WBGene00222521	-1.54
WBGene00222523	-3.42
WBGene00222524	2.32
WBGene00222526	8.56
WBGene00222527	4.43
WBGene00222530	2.83
WBGene00222531	-1.98
WBGene00222532	5.84
WBGene00222533	-3.45
WBGene00222534	-1.83
WBGene00222536	6.68
WBGene00222538	0.82
WBGene00222540	5.85
WBGene00222541	5.38
WBGene00222542	1.29
WBGene00222543	-9.26
WBGene00222545	-2.40
WBGene00222546	-1.15
WBGene00222548	4.07
WBGene00222549	2.24
WBGene00222551	9.17
WBGene00222552	4.52
WBGene00222553	-2.98
WBGene00222554	6.08
WBGene00222555	-2.39
WBGene00222556	6.19
WBGene00222557	-4.03
WBGene00222560	-2.44
WBGene00222561	-3.57
WBGene00222562	0.80
WBGene00222563	2.28
WBGene00222564	-2.87
WBGene00222565	8.28
WBGene00222566	-1.82
WBGene00222568	-3.68
WBGene00222569	-2.26
WBGene00222570	2.38
WBGene00222574	-9.46
WBGene00222575	3.49
WBGene00222576	1.19
WBGene00222578	-1.87
WBGene00222579	-1.23
WBGene00222580	1.78
WBGene00222581	11.13
WBGene00222583	-1.20
WBGene00222585	4.56
WBGene00222586	-2.22
WBGene00222588	-1.73
WBGene00222589	6.85
WBGene00222590	2.61
WBGene00222591	-4.97
WBGene00222592	-2.15
WBGene00222595	7.21
WBGene00222597	-3.44
WBGene00222599	3.08
WBGene00222600	2.92
WBGene00222601	8.65
WBGene00222602	1.46
WBGene00222603	-2.03
WBGene00222604	-1.76
WBGene00222605	7.80
WBGene00222606	7.42
WBGene00222607	-1.83
WBGene00222608	-6.91
WBGene00222610	-0.97
WBGene00222611	-0.64
WBGene00222613	8.58
WBGene00222614	-1.94
WBGene00222615	-5.34
WBGene00222616	1.62
WBGene00222618	1.23
WBGene00222619	0.52
WBGene00222620	1.79
WBGene00222621	-4.66
WBGene00222622	7.90
WBGene00222624	1.88
WBGene00222625	-2.98
WBGene00222626	5.95
WBGene00222629	-1.86
WBGene00222630	-2.79
WBGene00222631	-2.50
WBGene00222633	1.02
WBGene00222635	-1.77
WBGene00222636	-1.78
WBGene00222637	4.15
WBGene00222641	6.90
WBGene00222643	-0.51
WBGene00222644	1.20
WBGene00222645	-1.77
WBGene00222646	-1.09
WBGene00222650	6.00
WBGene00222651	-1.39
WBGene00222652	1.76
WBGene00222653	-9.06
WBGene00222655	-4.09
WBGene00222656	0.81
WBGene00222657	-2.66
WBGene00222659	1.97
WBGene00222661	-3.05
WBGene00222662	-3.70
WBGene00222665	3.20
WBGene00222666	-0.67
WBGene00222667	-2.25
WBGene00222668	-3.71
WBGene00222671	4.88
WBGene00222674	1.20
WBGene00222676	0.62
WBGene00222677	-4.66
WBGene00222678	-2.71
WBGene00222680	6.93
WBGene00222681	-4.98
WBGene00222682	-1.90
WBGene00222685	-2.25
WBGene00222686	5.51
WBGene00222687	2.37
WBGene00222688	-0.70
WBGene00222689	7.88
WBGene00222690	7.08
WBGene00222691	6.62
WBGene00222692	-6.13
WBGene00222693	5.90
WBGene00222696	-1.92
WBGene00222697	0.93
WBGene00222698	-2.27
WBGene00222699	-4.13
WBGene00222701	0.74
WBGene00222702	-4.01
WBGene00222703	-1.23
WBGene00222705	3.19
WBGene00222706	-4.57
WBGene00222707	7.17
WBGene00222710	1.71
WBGene00222711	-2.70
WBGene00222712	-1.70
WBGene00222714	5.01
WBGene00222716	-10.91
WBGene00222717	3.85
WBGene00222718	-3.06
WBGene00222719	-1.49
WBGene00222722	-7.22
WBGene00222723	-2.55
WBGene00222725	-2.32
WBGene00222727	-3.00
WBGene00222728	3.41
WBGene00222731	-0.57
WBGene00222732	4.08
WBGene00222734	7.98
WBGene00222735	-3.99
