# Differential expression analysis for study ERP0009481 contrast  across:biosourceprovider. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !L3 vs L3 (GA sample): L3 (GA sample) - low replicates (1). L3 - low replicates (1)
	!L3 vs L3 (GA sample)
WBGene00224626	9.08
WBGene00224627	9.22
WBGene00224629	0.97
WBGene00224634	5.01
WBGene00224635	-6.98
WBGene00224636	-0.94
WBGene00224637	1.76
WBGene00224640	5.41
WBGene00224641	5.66
WBGene00224642	8.02
WBGene00224643	4.70
WBGene00224644	0.71
WBGene00224647	3.86
WBGene00224649	4.01
WBGene00224650	2.09
WBGene00224651	-0.61
WBGene00224652	-0.70
WBGene00224653	-1.73
WBGene00224655	5.47
WBGene00224656	-2.58
WBGene00224657	2.84
WBGene00224658	-1.49
WBGene00224661	-1.11
WBGene00224662	-1.65
WBGene00224663	4.51
WBGene00224664	6.86
WBGene00224665	-0.67
WBGene00224666	6.10
WBGene00224667	-1.49
WBGene00224668	6.37
WBGene00224670	-2.13
WBGene00224672	-4.69
WBGene00224673	1.04
WBGene00224674	-1.30
WBGene00224675	4.49
WBGene00224676	-1.86
WBGene00224677	-0.99
WBGene00224679	-2.72
WBGene00224680	-3.97
WBGene00224681	-2.01
WBGene00224683	1.99
WBGene00224684	-2.05
WBGene00224685	1.16
WBGene00224686	10.24
WBGene00224687	1.47
WBGene00224688	-4.82
WBGene00224689	3.69
WBGene00224695	-2.02
WBGene00224696	-0.96
WBGene00224697	-2.31
WBGene00224699	-2.98
WBGene00224700	5.21
WBGene00224701	-2.28
WBGene00224702	8.78
WBGene00224704	3.38
WBGene00224706	-0.70
WBGene00224707	-2.05
WBGene00224708	-2.37
WBGene00224711	1.17
WBGene00224712	1.89
WBGene00224717	-1.54
WBGene00224718	2.84
WBGene00224719	2.38
WBGene00224720	6.51
WBGene00224721	-2.02
WBGene00224722	0.79
WBGene00224725	-6.10
WBGene00224726	4.56
WBGene00224727	1.51
WBGene00224728	-4.38
WBGene00224730	3.43
WBGene00224731	4.75
WBGene00224733	8.74
WBGene00224734	-6.82
WBGene00224735	6.37
WBGene00224737	-1.41
WBGene00224739	1.50
WBGene00224741	0.83
WBGene00224743	0.87
WBGene00224744	0.70
WBGene00224746	-2.24
WBGene00224747	-3.39
WBGene00224748	-2.07
WBGene00224749	-1.55
WBGene00224751	7.21
WBGene00224752	-3.47
WBGene00224753	7.16
WBGene00224754	-2.76
WBGene00224755	-3.22
WBGene00224756	2.80
WBGene00224757	4.89
WBGene00224758	-2.86
WBGene00224759	1.13
WBGene00224760	-1.61
WBGene00224762	1.36
WBGene00224764	-2.78
WBGene00224765	-4.31
WBGene00224767	2.83
WBGene00224768	5.68
WBGene00224770	5.44
WBGene00224771	4.79
WBGene00224772	8.01
WBGene00224774	8.11
WBGene00224775	-2.09
WBGene00224776	-4.60
WBGene00224777	5.30
WBGene00224780	-3.40
WBGene00224781	-1.50
WBGene00224782	2.45
WBGene00224784	1.17
WBGene00224785	1.06
WBGene00224786	1.16
WBGene00224788	-8.32
WBGene00224789	-0.95
WBGene00224792	2.12
WBGene00224793	7.10
WBGene00224795	1.98
WBGene00224796	1.73
WBGene00224797	2.85
WBGene00224800	6.29
WBGene00224801	-6.18
WBGene00224802	-1.84
WBGene00224805	1.04
WBGene00224807	7.93
WBGene00224808	2.97
WBGene00224810	-1.69
WBGene00224813	-4.70
WBGene00224815	-11.16
WBGene00224816	-3.11
WBGene00224818	-2.74
WBGene00224819	-4.75
WBGene00224820	-3.84
WBGene00224822	1.84
WBGene00224823	5.53
WBGene00224825	0.93
WBGene00224826	-1.98
WBGene00224828	-1.85
WBGene00224829	6.07
WBGene00224831	7.94
WBGene00224836	-1.40
WBGene00224839	1.77
WBGene00224841	7.47
WBGene00224842	7.62
WBGene00224845	3.24
WBGene00224847	4.12
WBGene00224848	1.16
WBGene00224849	-1.50
WBGene00224851	1.08
WBGene00224852	6.11
WBGene00224854	-3.84
WBGene00224855	3.65
WBGene00224858	1.96
WBGene00224859	5.85
WBGene00224860	3.78
WBGene00224861	6.65
WBGene00224862	-1.09
WBGene00224864	-3.19
WBGene00224866	7.60
WBGene00224867	2.19
WBGene00224870	-2.43
WBGene00224871	-0.74
WBGene00224872	3.82
WBGene00224875	1.24
WBGene00224877	-4.13
WBGene00224879	3.66
WBGene00224882	1.64
WBGene00224884	7.13
WBGene00224886	-1.84
WBGene00224887	-0.97
WBGene00224888	4.20
WBGene00224889	2.39
WBGene00224891	3.91
WBGene00224892	2.32
WBGene00224893	1.97
WBGene00224894	-8.10
WBGene00224895	1.21
WBGene00224896	-3.74
WBGene00224897	7.45
WBGene00224898	-0.87
WBGene00224899	-2.79
WBGene00224900	7.56
WBGene00224901	-3.03
WBGene00224902	0.86
WBGene00224903	-2.27
WBGene00224905	0.57
WBGene00224908	2.35
WBGene00224910	1.34
WBGene00224911	2.14
WBGene00224912	1.07
WBGene00224913	-1.19
WBGene00224916	1.13
WBGene00224917	6.36
WBGene00224919	-1.24
WBGene00224920	1.80
WBGene00224921	3.52
WBGene00224922	-1.24
WBGene00224923	1.05
WBGene00224924	-0.88
WBGene00224926	-1.74
WBGene00224927	4.54
WBGene00224928	2.64
WBGene00224929	-2.49
WBGene00224930	1.77
WBGene00224931	3.66
WBGene00224935	1.09
WBGene00224937	3.18
WBGene00224938	5.45
WBGene00224939	1.48
WBGene00224940	-2.75
WBGene00224941	2.45
WBGene00224942	2.42
WBGene00224943	2.28
WBGene00224945	-1.91
WBGene00224946	1.10
WBGene00224948	3.71
WBGene00224949	3.02
WBGene00224950	-1.86
WBGene00224951	2.18
WBGene00224952	1.32
WBGene00224953	-1.44
WBGene00224955	1.04
WBGene00224956	1.45
WBGene00224957	4.44
WBGene00224958	3.61
WBGene00224959	2.35
WBGene00224961	7.92
WBGene00224962	1.50
WBGene00224964	-2.00
WBGene00224965	5.48
WBGene00224966	2.62
WBGene00224967	8.65
WBGene00224968	-4.48
WBGene00224969	-1.18
WBGene00224970	4.91
WBGene00224972	4.17
WBGene00224974	8.24
WBGene00224975	3.53
WBGene00224977	-1.64
WBGene00224978	-4.19
WBGene00224979	6.95
WBGene00224980	-7.87
WBGene00224981	-3.43
WBGene00224982	3.89
WBGene00224983	-1.20
WBGene00224984	-5.78
WBGene00224985	5.60
WBGene00224987	-2.17
WBGene00224989	-2.98
WBGene00224990	-1.12
WBGene00224992	10.08
WBGene00224993	-1.13
WBGene00224994	5.52
WBGene00224995	1.81
WBGene00224996	8.32
WBGene00224998	9.23
WBGene00224999	-2.83
WBGene00225000	7.87
WBGene00225001	3.76
WBGene00225003	-3.86
WBGene00225006	7.48
WBGene00225007	3.93
WBGene00225008	8.00
WBGene00225011	5.52
WBGene00225012	1.95
WBGene00225014	4.38
WBGene00225016	-4.28
WBGene00225017	11.17
WBGene00225018	1.22
WBGene00225019	7.27
WBGene00225021	3.85
WBGene00225022	8.46
WBGene00225023	2.06
WBGene00225024	5.89
WBGene00225025	5.45
WBGene00225026	-0.71
WBGene00225027	-1.26
WBGene00225028	5.16
WBGene00225030	-2.26
WBGene00225031	7.16
WBGene00225032	-1.99
WBGene00225033	-4.97
WBGene00225035	2.93
WBGene00225036	3.96
WBGene00225040	-2.93
WBGene00225041	6.77
WBGene00225044	-3.35
WBGene00225045	-1.59
WBGene00225046	-3.97
WBGene00225047	8.39
WBGene00225048	-4.66
WBGene00225050	1.39
WBGene00225052	3.41
WBGene00225053	-3.35
WBGene00225057	-3.02
WBGene00225058	8.65
WBGene00225060	8.52
WBGene00225061	-3.78
WBGene00225064	6.68
WBGene00225065	5.27
WBGene00225066	5.58
WBGene00225067	1.14
WBGene00225068	-3.66
WBGene00225069	8.39
WBGene00225070	2.62
WBGene00225071	-3.46
WBGene00225072	3.31
WBGene00225074	8.90
WBGene00225076	-1.32
WBGene00225077	2.46
WBGene00225078	-1.59
WBGene00225080	1.16
WBGene00225081	1.10
WBGene00225082	-11.36
WBGene00225083	6.87
WBGene00225085	-1.72
WBGene00225086	3.98
WBGene00225087	-2.34
WBGene00225088	-0.61
WBGene00225089	1.17
WBGene00225090	4.06
WBGene00225092	2.52
WBGene00225093	-2.78
WBGene00225094	-4.13
WBGene00225096	0.76
WBGene00225097	6.68
WBGene00225098	6.28
WBGene00225101	3.35
WBGene00225104	7.80
WBGene00225105	-1.58
WBGene00225107	6.02
WBGene00225108	3.36
WBGene00225109	3.26
WBGene00225110	1.62
WBGene00225111	-1.60
WBGene00225112	6.77
WBGene00225113	4.71
WBGene00225114	2.57
WBGene00225115	3.45
WBGene00225116	1.42
WBGene00225117	2.48
WBGene00225119	-4.05
WBGene00225120	7.14
WBGene00225121	-1.62
WBGene00225125	4.80
WBGene00225126	6.61
WBGene00225127	-1.04
WBGene00225128	-1.13
WBGene00225129	-2.26
WBGene00225130	-1.58
WBGene00225131	-0.68
WBGene00225132	-1.68
WBGene00225137	5.62
WBGene00225139	3.39
WBGene00225140	-3.04
WBGene00225146	-2.90
WBGene00225147	-2.37
WBGene00225148	-1.16
WBGene00225149	-5.17
WBGene00225150	8.77
WBGene00225152	-2.04
WBGene00225153	7.15
WBGene00225155	7.18
WBGene00225160	-6.62
WBGene00225162	-1.61
WBGene00225163	-2.10
WBGene00225166	-2.74
WBGene00225167	6.36
WBGene00225168	8.66
WBGene00225169	-0.96
WBGene00225171	3.28
WBGene00225172	-3.43
WBGene00225173	7.57
WBGene00225174	-4.34
WBGene00225175	-2.56
WBGene00225176	-1.04
WBGene00225177	3.21
WBGene00225178	0.53
WBGene00225180	4.79
WBGene00225182	7.95
WBGene00225183	5.98
WBGene00225184	5.48
WBGene00225185	7.82
WBGene00225186	-0.80
WBGene00225188	-10.04
WBGene00225189	-2.66
WBGene00225190	-3.88
WBGene00225192	-1.05
WBGene00225193	1.81
WBGene00225194	0.57
WBGene00225195	-3.84
WBGene00225196	2.33
WBGene00225197	-1.68
WBGene00225199	-6.37
WBGene00225200	1.35
WBGene00225201	6.13
WBGene00225202	3.68
WBGene00225204	-0.94
WBGene00225205	1.32
WBGene00225206	0.75
WBGene00225207	-1.31
WBGene00225210	-1.10
WBGene00225212	-2.14
WBGene00225213	-2.95
WBGene00225215	6.43
WBGene00225216	10.28
WBGene00225217	-3.55
WBGene00225219	-2.43
WBGene00225220	2.42
WBGene00225221	4.74
WBGene00225225	-5.86
WBGene00225226	-1.52
WBGene00225227	-3.31
WBGene00225228	7.19
WBGene00225229	-5.88
WBGene00225230	-1.27
WBGene00225231	3.50
WBGene00225233	3.91
WBGene00225234	3.06
WBGene00225235	-1.40
WBGene00225236	-2.78
WBGene00225237	2.73
WBGene00225238	4.09
WBGene00225239	-1.44
WBGene00225240	-2.86
WBGene00225241	4.91
WBGene00225243	1.55
WBGene00225244	-1.52
WBGene00225245	1.07
WBGene00225246	-1.00
WBGene00225247	4.01
WBGene00225253	-1.30
WBGene00225254	1.93
WBGene00225255	8.81
WBGene00225256	4.62
WBGene00225258	3.33
WBGene00225259	2.26
WBGene00225260	0.86
WBGene00225262	1.38
WBGene00225263	-0.98
WBGene00225264	0.65
WBGene00225265	1.38
WBGene00225269	-6.43
WBGene00225270	7.16
WBGene00225271	3.16
WBGene00225272	3.37
WBGene00225274	4.41
WBGene00225275	0.40
WBGene00225276	-7.06
WBGene00225277	-1.55
WBGene00225279	8.16
WBGene00225280	-0.54
WBGene00225281	0.60
WBGene00225285	-2.44
WBGene00225286	6.72
WBGene00225288	8.57
WBGene00225289	4.77
WBGene00225290	-2.28
WBGene00225291	2.03
WBGene00225292	1.18
WBGene00225295	7.10
WBGene00225296	1.96
WBGene00225297	7.98
WBGene00225298	2.02
WBGene00225299	-2.77
WBGene00225300	-0.86
WBGene00225302	1.22
WBGene00225304	-2.91
WBGene00225307	-2.56
WBGene00225310	-1.51
WBGene00225311	-1.92
WBGene00225312	-0.93
WBGene00225313	-0.96
WBGene00225314	6.79
WBGene00225315	4.24
WBGene00225316	-0.79
WBGene00225317	-1.28
WBGene00225319	-2.40
WBGene00225320	-3.47
WBGene00225322	-2.29
WBGene00225323	5.79
WBGene00225324	-1.59
WBGene00225325	6.33
WBGene00225326	3.86
WBGene00225329	-0.64
WBGene00225330	2.14
WBGene00225331	-2.63
WBGene00225332	-1.69
WBGene00225333	-1.18
WBGene00225335	-1.48
WBGene00225338	2.40
WBGene00225340	-4.61
WBGene00225341	6.65
WBGene00225342	2.39
WBGene00225343	-2.24
WBGene00225344	-1.61
WBGene00225345	-2.20
WBGene00225347	9.24
WBGene00225348	-2.96
WBGene00225350	6.17
WBGene00225352	7.38
WBGene00225354	4.63
WBGene00225356	-3.38
WBGene00225357	-1.16
WBGene00225358	2.06
WBGene00225361	-6.33
WBGene00225363	8.16
WBGene00225364	-4.34
WBGene00225367	5.04
WBGene00225368	-5.50
WBGene00225369	0.76
WBGene00225370	2.16
WBGene00225371	-3.09
WBGene00225372	-3.83
WBGene00225373	5.49
WBGene00225376	1.34
WBGene00225377	8.37
WBGene00225378	-2.05
WBGene00225380	-7.39
WBGene00225381	1.21
WBGene00225382	4.04
WBGene00225383	6.19
WBGene00225384	-2.50
WBGene00225385	2.42
WBGene00225386	-3.46
WBGene00225387	-3.03
WBGene00225388	-1.70
WBGene00225391	-3.35
WBGene00225394	-1.28
WBGene00225395	-4.91
WBGene00225397	10.26
WBGene00225402	0.97
WBGene00225403	7.77
WBGene00225404	0.88
WBGene00225405	4.29
WBGene00225406	5.71
WBGene00225407	4.54
WBGene00225409	7.19
WBGene00225410	-2.93
WBGene00225414	-14.89
WBGene00225415	-6.91
WBGene00225420	3.29
WBGene00225421	3.46
WBGene00225422	-1.14
WBGene00225423	-1.48
WBGene00225424	-5.04
WBGene00225427	-4.81
WBGene00225429	2.26
WBGene00225430	-3.38
WBGene00225431	4.78
WBGene00225433	6.93
WBGene00225434	-4.44
WBGene00225437	-1.06
WBGene00225438	4.66
WBGene00225439	-2.12
WBGene00225442	2.96
WBGene00225443	7.28
WBGene00225444	3.09
WBGene00225445	4.07
WBGene00225447	1.91
WBGene00225448	-2.26
WBGene00225449	-6.57
WBGene00225451	-11.78
WBGene00225452	0.87
WBGene00225453	1.53
WBGene00225454	9.21
WBGene00225455	-5.57
WBGene00225456	7.41
WBGene00225457	2.60
WBGene00225458	4.38
WBGene00225459	-5.53
WBGene00225460	5.77
WBGene00225461	0.62
WBGene00225462	1.35
WBGene00225465	3.21
WBGene00225468	7.58
WBGene00225469	-8.82
WBGene00225470	4.15
WBGene00225471	-1.08
WBGene00225475	-1.95
WBGene00225476	-2.49
WBGene00225477	-0.50
WBGene00225478	1.27
WBGene00225479	4.48
WBGene00225480	6.66
WBGene00225481	7.47
WBGene00225482	-1.85
WBGene00225484	-2.16
WBGene00225485	-1.76
WBGene00225489	7.26
WBGene00225490	5.96
WBGene00225491	5.45
WBGene00225492	4.30
WBGene00225493	6.17
WBGene00225495	6.50
WBGene00225496	11.95
WBGene00225497	-1.36
WBGene00225498	9.12
WBGene00225501	3.34
WBGene00225502	1.02
WBGene00225503	-0.47
WBGene00225504	1.05
WBGene00225505	-3.09
WBGene00225506	-5.96
WBGene00225507	-3.33
WBGene00225508	1.31
WBGene00225509	6.64
WBGene00225511	-11.47
WBGene00225512	-3.05
WBGene00225513	-3.00
WBGene00225514	-2.21
WBGene00225515	1.96
WBGene00225517	0.80
WBGene00225518	-1.76
WBGene00225524	1.98
WBGene00225525	6.55
WBGene00225526	-6.54
WBGene00225527	-3.37
WBGene00225528	-2.33
WBGene00225530	1.39
WBGene00225531	-4.14
WBGene00225532	-3.20
WBGene00225533	-4.56
WBGene00225534	-4.08
WBGene00225535	-6.39
WBGene00225536	3.05
WBGene00225537	1.66
WBGene00225538	1.92
WBGene00225541	-0.74
WBGene00225543	1.99
WBGene00225545	8.39
WBGene00225546	-0.54
WBGene00225547	9.64
WBGene00225549	-0.80
WBGene00225550	3.85
WBGene00225551	2.13
WBGene00225553	6.23
WBGene00225556	-4.75
WBGene00225557	6.83
WBGene00225558	1.40
WBGene00225559	8.77
WBGene00225560	0.49
WBGene00225561	-3.15
WBGene00225562	-1.75
WBGene00225563	3.62
WBGene00225564	1.33
WBGene00225565	-0.85
WBGene00225566	4.63
WBGene00225567	8.06
WBGene00225568	4.07
WBGene00225569	5.94
WBGene00225570	3.22
WBGene00225572	10.47
WBGene00225573	5.96
WBGene00225574	-6.80
WBGene00225575	0.77
WBGene00225576	1.74
WBGene00225577	10.22
WBGene00225579	10.46
WBGene00225580	3.55
WBGene00225583	1.65
WBGene00225584	2.62
WBGene00225585	-0.98
WBGene00225586	6.92
WBGene00225588	-0.96
WBGene00225589	-2.60
WBGene00225590	3.76
WBGene00225591	6.05
WBGene00225592	-1.80
WBGene00225593	5.48
WBGene00225594	1.49
WBGene00225595	-4.65
WBGene00225596	8.07
WBGene00225597	8.08
WBGene00225599	-2.47
WBGene00225600	6.51
WBGene00225602	-5.60
WBGene00225603	3.74
WBGene00225605	-1.81
WBGene00225606	-2.14
WBGene00225607	3.25
WBGene00225608	-0.68
WBGene00225609	-1.34
WBGene00225610	9.13
WBGene00225612	0.96
WBGene00225615	2.35
WBGene00225616	3.00
WBGene00225617	1.97
WBGene00225618	-3.05
WBGene00225619	7.45
WBGene00225621	-3.82
WBGene00225622	-7.46
WBGene00225623	2.22
WBGene00225624	5.13
WBGene00225626	4.09
WBGene00225627	-3.09
WBGene00225628	5.47
WBGene00225629	-1.32
WBGene00225630	8.09
WBGene00225631	8.37
WBGene00225632	1.17
WBGene00225635	3.57
WBGene00225636	-3.28
WBGene00225639	1.75
WBGene00225642	2.55
WBGene00225643	2.56
WBGene00225644	1.25
WBGene00225645	2.06
WBGene00225646	-1.62
WBGene00225649	1.75
WBGene00225650	3.90
WBGene00225651	-2.19
WBGene00225653	2.47
WBGene00225656	6.15
WBGene00225657	3.01
WBGene00225659	4.96
WBGene00225660	-3.21
WBGene00225661	1.13
WBGene00225667	-5.00
WBGene00225668	5.57
WBGene00225669	-0.78
WBGene00225670	6.76
WBGene00225671	1.25
WBGene00225672	2.91
WBGene00225675	2.27
WBGene00225676	-1.77
WBGene00225677	6.47
WBGene00225678	2.33
WBGene00225679	8.38
WBGene00225682	-2.26
WBGene00225684	-2.90
WBGene00225685	7.41
WBGene00225686	2.46
WBGene00225688	-1.99
WBGene00225691	5.82
WBGene00225692	-1.02
WBGene00225695	-1.28
WBGene00225696	1.39
WBGene00225697	10.13
WBGene00225700	0.98
WBGene00225701	7.01
WBGene00225702	1.52
WBGene00225703	3.01
WBGene00225704	2.64
WBGene00225705	9.83
WBGene00225706	5.87
WBGene00225707	3.57
WBGene00225708	3.82
WBGene00225709	-4.08
WBGene00225710	-3.03
WBGene00225711	2.82
WBGene00225712	2.01
WBGene00225713	7.72
WBGene00225715	6.41
WBGene00225716	1.17
WBGene00225718	1.98
WBGene00225720	11.34
WBGene00225721	-3.62
WBGene00225722	-2.59
WBGene00225723	-4.50
WBGene00225724	-3.70
WBGene00225725	7.15
WBGene00225726	3.64
WBGene00225728	2.69
WBGene00225730	2.80
WBGene00225733	-2.29
WBGene00225735	0.88
WBGene00225737	2.29
WBGene00225738	1.92
WBGene00225739	2.05
WBGene00225740	-1.67
WBGene00225742	5.71
WBGene00225744	3.85
WBGene00225745	-4.02
WBGene00225746	-2.11
WBGene00225748	3.71
WBGene00225749	5.67
WBGene00225750	-1.62
WBGene00225752	6.15
WBGene00225754	-2.24
WBGene00225755	1.48
WBGene00225758	-4.02
WBGene00225760	-2.30
WBGene00225761	-2.35
WBGene00225766	-2.06
WBGene00225767	8.31
WBGene00225771	8.52
WBGene00225772	-1.75
WBGene00225773	7.41
WBGene00225774	5.21
WBGene00225776	2.50
WBGene00225778	-2.81
WBGene00225780	1.17
WBGene00225781	2.08
WBGene00225783	2.82
WBGene00225785	-1.04
WBGene00225786	4.17
WBGene00225788	6.08
WBGene00225789	1.23
WBGene00225790	1.42
WBGene00225791	6.78
WBGene00225793	7.03
WBGene00225796	1.49
WBGene00225797	-0.51
WBGene00225798	1.49
WBGene00225799	4.78
WBGene00225800	-2.36
WBGene00225801	-0.75
WBGene00225802	6.15
WBGene00225803	0.99
WBGene00225804	10.24
WBGene00225805	3.06
WBGene00225806	1.22
WBGene00225807	1.98
WBGene00225809	-3.81
WBGene00225810	2.74
WBGene00225813	1.73
WBGene00225814	3.96
WBGene00225815	2.08
WBGene00225816	-2.69
WBGene00225817	3.15
WBGene00225818	-1.80
WBGene00225821	2.98
WBGene00225822	-1.19
WBGene00225824	-0.87
WBGene00225825	0.61
WBGene00225826	8.17
WBGene00225827	-2.23
WBGene00225828	-4.19
WBGene00225829	-0.57
WBGene00225831	4.40
WBGene00225833	2.18
WBGene00225835	1.75
WBGene00225836	-1.29
WBGene00225837	-5.91
WBGene00225838	2.23
WBGene00225839	4.18
WBGene00225841	3.48
WBGene00225843	-5.60
WBGene00225844	-1.67
WBGene00225845	4.86
WBGene00225847	5.67
WBGene00225848	2.01
WBGene00225849	-0.51
WBGene00225850	-2.90
WBGene00225852	-1.85
WBGene00225854	2.14
WBGene00225855	4.65
WBGene00225858	-3.51
WBGene00225859	2.00
WBGene00225860	3.33
WBGene00225863	-3.30
WBGene00225864	-6.69
WBGene00225868	-2.17
WBGene00225869	1.42
WBGene00225871	-8.27
WBGene00225872	1.66
WBGene00225874	-1.22
WBGene00225875	-1.59
WBGene00225876	2.78
WBGene00225877	7.11
WBGene00225878	-3.57
WBGene00225879	-5.94
WBGene00225880	2.45
WBGene00225884	-2.71
WBGene00225885	5.60
WBGene00225886	3.36
WBGene00225887	-1.94
WBGene00225890	6.87
WBGene00225891	2.83
WBGene00225892	4.97
WBGene00225893	-4.60
WBGene00225894	-8.46
WBGene00225895	4.79
WBGene00225896	8.84
WBGene00225897	3.19
WBGene00225898	-7.95
WBGene00225899	3.94
WBGene00225900	4.34
WBGene00225901	1.16
WBGene00225904	-4.11
WBGene00225907	-0.93
WBGene00225909	3.54
WBGene00225912	-0.75
WBGene00225914	-3.31
WBGene00225915	3.06
WBGene00225917	-4.19
WBGene00225919	-3.69
WBGene00225920	2.70
WBGene00225921	-3.82
WBGene00225922	2.80
WBGene00225923	-1.52
WBGene00225927	3.00
WBGene00225928	8.95
WBGene00225929	0.98
WBGene00225930	-1.89
WBGene00225931	-2.30
WBGene00225932	2.39
WBGene00225934	-0.96
WBGene00225935	3.35
WBGene00225936	1.62
WBGene00225938	-1.97
WBGene00225939	0.85
WBGene00225940	1.45
WBGene00225941	7.66
WBGene00225942	2.09
WBGene00225946	2.15
WBGene00225949	-1.41
WBGene00225950	-6.03
WBGene00225951	2.72
WBGene00225952	-6.23
WBGene00225954	3.95
WBGene00225955	-4.06
WBGene00225956	7.73
WBGene00225957	-1.60
WBGene00225960	3.73
WBGene00225961	2.23
WBGene00225962	-2.31
WBGene00225964	4.43
WBGene00225965	6.08
WBGene00225966	3.13
WBGene00225967	8.75
WBGene00225968	5.80
WBGene00225969	0.77
WBGene00225970	1.08
WBGene00225972	0.84
WBGene00225973	-2.74
WBGene00225974	1.59
WBGene00225975	-1.48
WBGene00225976	-1.18
WBGene00225979	-2.47
WBGene00225980	-0.51
WBGene00225982	7.31
WBGene00225983	6.43
WBGene00225984	11.15
WBGene00225986	5.08
WBGene00225987	6.38
WBGene00225988	-7.01
WBGene00225989	-0.82
WBGene00225991	8.65
WBGene00225992	7.31
WBGene00225993	1.75
WBGene00225994	2.09
WBGene00225996	-3.55
WBGene00225997	1.06
WBGene00226000	-0.81
WBGene00226001	3.49
WBGene00226003	-2.47
WBGene00226004	-1.26
WBGene00226005	-3.08
WBGene00226006	2.72
WBGene00226009	2.22
WBGene00226010	6.49
WBGene00226012	1.65
WBGene00226014	1.54
WBGene00226015	4.39
WBGene00226017	7.09
WBGene00226018	8.55
WBGene00226019	-1.11
WBGene00226020	-1.47
WBGene00226021	-2.11
WBGene00226022	-1.37
WBGene00226024	-2.51
WBGene00226025	2.40
WBGene00226026	-0.93
WBGene00226029	-1.91
WBGene00226030	2.28
WBGene00226031	-1.44
WBGene00226032	-5.71
WBGene00226034	-14.21
WBGene00226035	5.29
WBGene00226038	1.04
WBGene00226040	7.79
WBGene00226041	7.29
WBGene00226042	-2.60
WBGene00226043	5.59
WBGene00226044	-1.85
WBGene00226046	-4.49
WBGene00226048	5.64
WBGene00226049	10.16
WBGene00226050	5.67
WBGene00226051	-1.04
WBGene00226053	-2.61
WBGene00226055	2.31
WBGene00226056	-1.57
WBGene00226058	7.95
WBGene00226059	4.29
WBGene00226060	-0.64
WBGene00226062	5.56
WBGene00226064	1.73
WBGene00226066	5.92
WBGene00226067	1.99
WBGene00226068	-1.64
WBGene00226069	3.82
WBGene00226070	5.26
WBGene00226072	9.04
WBGene00226073	7.25
WBGene00226074	1.03
WBGene00226075	2.68
WBGene00226077	-2.41
WBGene00226078	-1.03
WBGene00226079	-1.29
WBGene00226081	1.20
WBGene00226082	4.79
WBGene00226085	-1.69
WBGene00226087	-2.09
WBGene00226089	-2.73
WBGene00226090	-0.54
WBGene00226091	1.38
WBGene00226093	7.55
WBGene00226095	2.20
WBGene00226096	-3.13
WBGene00226097	3.53
WBGene00226098	2.27
WBGene00226099	4.59
WBGene00226100	6.31
WBGene00226101	5.79
WBGene00226102	8.92
WBGene00226104	7.63
WBGene00226106	1.49
WBGene00226107	-3.41
WBGene00226108	3.38
WBGene00226109	-3.31
WBGene00226110	-3.47
WBGene00226111	1.20
WBGene00226112	-3.21
WBGene00226113	-3.95
WBGene00226114	2.96
WBGene00226116	2.19
WBGene00226117	4.99
WBGene00226118	-1.30
WBGene00226119	8.74
WBGene00226120	-2.37
WBGene00226121	-3.23
WBGene00226123	-1.71
WBGene00226124	6.84
WBGene00226126	-7.54
WBGene00226127	2.91
WBGene00226128	-1.14
WBGene00226133	6.92
WBGene00226134	-1.76
WBGene00226136	-0.77
WBGene00226137	-1.10
WBGene00226138	1.43
WBGene00226139	-3.18
WBGene00226140	-2.93
WBGene00226141	4.13
WBGene00226142	7.76
WBGene00226144	-3.58
WBGene00226145	-6.73
WBGene00226146	6.10
WBGene00226148	-1.75
WBGene00226149	1.56
WBGene00226151	-0.89
WBGene00226153	-3.34
WBGene00226154	2.26
WBGene00226155	-1.78
WBGene00226158	1.30
WBGene00226160	-6.48
WBGene00226161	-1.68
WBGene00226162	1.25
WBGene00226167	-1.61
WBGene00226173	7.52
WBGene00226175	3.42
WBGene00226176	-3.01
WBGene00226179	4.66
WBGene00226182	1.74
WBGene00226184	2.77
WBGene00226185	-0.72
WBGene00226186	1.72
WBGene00226187	2.31
WBGene00226188	5.47
WBGene00226189	-0.45
WBGene00226190	-2.23
WBGene00226191	7.31
WBGene00226192	2.08
WBGene00226193	-4.51
WBGene00226195	2.66
WBGene00226196	-1.57
WBGene00226199	-0.65
WBGene00226200	-1.51
WBGene00226201	6.17
WBGene00226202	8.07
WBGene00226203	-1.01
WBGene00226205	6.83
WBGene00226207	6.97
WBGene00226208	2.12
WBGene00226209	3.09
WBGene00226211	3.96
WBGene00226212	-2.30
WBGene00226215	-0.85
WBGene00226216	6.32
WBGene00226218	9.44
WBGene00226219	-1.58
WBGene00226221	-3.74
WBGene00226222	-3.07
WBGene00226223	1.52
WBGene00226224	-2.33
WBGene00226225	-0.85
WBGene00226227	-4.98
WBGene00226228	-1.84
WBGene00226230	-1.42
WBGene00226232	7.35
WBGene00226233	-0.75
WBGene00226234	-3.15
WBGene00226235	-0.57
WBGene00226236	-2.44
WBGene00226237	1.91
WBGene00226238	-2.25
WBGene00226239	5.53
WBGene00226241	4.06
WBGene00226242	-4.21
WBGene00226243	1.20
WBGene00226244	-3.29
WBGene00226245	2.37
