Run	Sample	Condition	developmental_stage	sex	strain	organism_part
SRR031122	SRS008269		L4 larva Ce	hermaphrodite	JK1107	organism
SRR031123	SRS008269		L4 larva Ce	hermaphrodite	JK1107	organism
SRR085465	SRS150472		all stages Ce	hermaphrodite	N2	organism
SRR085466	SRS150472		adult	hermaphrodite	N2	organism
SRR085467	SRS150472		adult	hermaphrodite	N2	organism
SRR089405	SRS150938		L3 larva Ce	hermaphrodite	N2	organism
SRR089406	SRS150938		L3 larva Ce	hermaphrodite	N2	organism
SRR089407	SRS150938		L3 larva Ce	hermaphrodite	N2	organism
SRR089302	SRS150939		adult	hermaphrodite	N2	organism
SRR089303	SRS150939		adult	hermaphrodite	N2	organism
SRR089304	SRS150939		adult	hermaphrodite	N2	organism
SRR089352	SRS150966		adult	hermaphrodite	N2	organism
SRR089353	SRS150966		adult	hermaphrodite	N2	organism
SRR089354	SRS150966		adult	hermaphrodite	N2	organism
SRR089358	SRS150967		adult	hermaphrodite	N2	organism
SRR089359	SRS150967		adult	hermaphrodite	N2	organism
SRR089360	SRS150967		adult	hermaphrodite	N2	organism
SRR089361	SRS150968		adult	hermaphrodite	N2	organism
SRR089362	SRS150968		adult	hermaphrodite	N2	organism
SRR089363	SRS150968		adult	hermaphrodite	N2	organism
SRR089784	SRS151140		proliferating embryo Ce	hermaphrodite	N2	organism
SRR089785	SRS151140		proliferating embryo Ce	hermaphrodite	N2	organism
SRR089786	SRS151140		proliferating embryo Ce	hermaphrodite	N2	organism
SRR089795	SRS151142		proliferating embryo Ce	hermaphrodite	N2	organism
SRR089796	SRS151142		proliferating embryo Ce	hermaphrodite	N2	organism
SRR089797	SRS151143		embryo Ce	male	CB1489	organism
SRR125491	SRS151143		embryo Ce	male	CB1489	organism
SRR089798	SRS151144		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR089799	SRS151145		L4 larva Ce	hermaphrodite	JK1107	organism
SRR089821	SRS151153		L1 larva Ce	hermaphrodite	N2	organism
SRR089822	SRS151153		L1 larva Ce	hermaphrodite	N2	organism
SRR089823	SRS151153		L1 larva Ce	hermaphrodite	N2	organism
SRR124255	SRS174136		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR124256	SRS174136		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR124257	SRS174136		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR124273	SRS174140		L4 larva Ce	male	N2	organism
SRR124274	SRS174140		L4 larva Ce	male	N2	organism
SRR124275	SRS174141		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR124276	SRS174141		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR125337	SRS174229		L2 larva Ce	hermaphrodite	N2	organism
SRR125338	SRS174229		L2 larva Ce	hermaphrodite	N2	organism
SRR125339	SRS174229		L2 larva Ce	hermaphrodite	N2	organism
SRR125481	SRS178501		adult	hermaphrodite	N2	organism
SRR125482	SRS178501		adult	hermaphrodite	N2	organism
SRR136597	SRS178993		L4 larva Ce	hermaphrodite	N2	organism
SRR136598	SRS178994		L4 larva Ce	hermaphrodite	N2	organism
SRR136599	SRS178995		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR137925	SRS179275		L1 larva Ce	hermaphrodite	MT10430	organism
SRR139094	SRS179275		L1 larva Ce	hermaphrodite	MT10430	organism
SRR137926	SRS179276		L4 larva Ce	male	N2	organism
SRR139148	SRS179276		L4 larva Ce	male	N2	organism
SRR316196	SRS242229		proliferating embryo Ce	hermaphrodite	N2	organism
SRR317083	SRS242229		proliferating embryo Ce	hermaphrodite	N2	organism
SRR316753	SRS242382		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR317082	SRS242382		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR350977	SRS242382		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR316754	SRS242383		4-cell embryo Ce	hermaphrodite	N2	organism
SRR316755	SRS242384		4-cell embryo Ce	hermaphrodite	N2	organism
SRR316756	SRS242384		4-cell embryo Ce	hermaphrodite	N2	organism
SRR316928	SRS242498		fully-elongated embryo Ce	hermaphrodite	N2	pharyngeal muscle cell
SRR316929	SRS242498		fully-elongated embryo Ce	hermaphrodite	N2	pharyngeal muscle cell
SRR332923	SRS258085		proliferating embryo Ce	hermaphrodite	N2	organism
SRR332924	SRS258085		proliferating embryo Ce	hermaphrodite	N2	organism
SRR350956	SRS258085		proliferating embryo Ce	hermaphrodite	N2	organism
SRR350957	SRS258085		proliferating embryo Ce	hermaphrodite	N2	organism
SRR359065	SRS258085		proliferating embryo Ce	hermaphrodite	N2	organism
SRR332921	SRS258165		proliferating embryo Ce	hermaphrodite	N2	organism
SRR332922	SRS258165		proliferating embryo Ce	hermaphrodite	N2	organism
SRR350954	SRS258165		proliferating embryo Ce	hermaphrodite	N2	organism
SRR350955	SRS258165		proliferating embryo Ce	hermaphrodite	N2	organism
SRR359063	SRS258165		proliferating embryo Ce	hermaphrodite	N2	organism
SRR478539	SRS258165		proliferating embryo Ce	hermaphrodite	N2	organism
SRR332925	SRS258166		proliferating embryo Ce	hermaphrodite	N2	organism
SRR332926	SRS258166		proliferating embryo Ce	hermaphrodite	N2	organism
SRR332927	SRS258166		proliferating embryo Ce	hermaphrodite	N2	organism
SRR350958	SRS258166		proliferating embryo Ce	hermaphrodite	N2	organism
SRR359066	SRS258166		proliferating embryo Ce	hermaphrodite	N2	organism
SRR350987	SRS266261		3-fold embryo Ce	hermaphrodite	N2	organism
SRR350988	SRS266261		3-fold embryo Ce	hermaphrodite	N2	organism
SRR350989	SRS266261		3-fold embryo Ce	hermaphrodite	N2	organism
SRR359089	SRS266261		3-fold embryo Ce	hermaphrodite	N2	organism
SRR350990	SRS266262		3-fold embryo Ce	hermaphrodite	N2	organism
SRR350991	SRS266262		3-fold embryo Ce	hermaphrodite	N2	organism
SRR350992	SRS266262		3-fold embryo Ce	hermaphrodite	N2	organism
SRR350993	SRS266262		3-fold embryo Ce	hermaphrodite	N2	organism
SRR359088	SRS266262		3-fold embryo Ce	hermaphrodite	N2	organism
SRR350994	SRS266263		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR350995	SRS266263		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR350996	SRS266263		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR350997	SRS266264		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR350998	SRS266264		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR350999	SRS266264		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR351000	SRS266265		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR351001	SRS266265		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR351002	SRS266266		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR351003	SRS266266		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR351004	SRS266267		elongating embryo Ce	hermaphrodite	N2	organism
SRR351005	SRS266267		elongating embryo Ce	hermaphrodite	N2	organism
SRR351006	SRS266267		elongating embryo Ce	hermaphrodite	N2	organism
SRR351007	SRS266268		elongating embryo Ce	hermaphrodite	N2	organism
SRR351008	SRS266268		elongating embryo Ce	hermaphrodite	N2	organism
SRR351009	SRS266269		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR351010	SRS266270		enclosing embryo Ce	hermaphrodite	N2	organism
SRR351011	SRS266270		enclosing embryo Ce	hermaphrodite	N2	organism
SRR351012	SRS266270		enclosing embryo Ce	hermaphrodite	N2	organism
SRR359069	SRS266270		enclosing embryo Ce	hermaphrodite	N2	organism
SRR351013	SRS266271		elongating embryo Ce	hermaphrodite	N2	organism
SRR351014	SRS266271		elongating embryo Ce	hermaphrodite	N2	organism
SRR351015	SRS266271		elongating embryo Ce	hermaphrodite	N2	organism
SRR351016	SRS266271		elongating embryo Ce	hermaphrodite	N2	organism
SRR359090	SRS266271		elongating embryo Ce	hermaphrodite	N2	organism
SRR351017	SRS266272		3-fold embryo Ce	hermaphrodite	N2	organism
SRR351018	SRS266272		3-fold embryo Ce	hermaphrodite	N2	organism
SRR351019	SRS266272		3-fold embryo Ce	hermaphrodite	N2	organism
SRR351020	SRS266272		3-fold embryo Ce	hermaphrodite	N2	organism
SRR359087	SRS266272		3-fold embryo Ce	hermaphrodite	N2	organism
SRR351021	SRS266273		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR351022	SRS266273		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR351023	SRS266274		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR351024	SRS266274		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR351025	SRS266275		enclosing embryo Ce	hermaphrodite	N2	organism
SRR351026	SRS266275		enclosing embryo Ce	hermaphrodite	N2	organism
SRR351027	SRS266275		enclosing embryo Ce	hermaphrodite	N2	organism
SRR351028	SRS266275		enclosing embryo Ce	hermaphrodite	N2	organism
SRR351029	SRS266275		enclosing embryo Ce	hermaphrodite	N2	organism
SRR359067	SRS266275		enclosing embryo Ce	hermaphrodite	N2	organism
SRR351030	SRS266276		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR351031	SRS266276		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR351032	SRS266276		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR351033	SRS266276		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR359094	SRS266276		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR351034	SRS266277		elongating embryo Ce	hermaphrodite	N2	organism
SRR351035	SRS266277		elongating embryo Ce	hermaphrodite	N2	organism
SRR351036	SRS266278		elongating embryo Ce	hermaphrodite	CB1370	organism
SRR351037	SRS266278		elongating embryo Ce	hermaphrodite	CB1370	organism
SRR351038	SRS266278		elongating embryo Ce	hermaphrodite	N2	organism
SRR351039	SRS266278		elongating embryo Ce	hermaphrodite	N2	organism
SRR359091	SRS266278		elongating embryo Ce	hermaphrodite	N2	organism
SRR351040	SRS266279		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR351041	SRS266279		fully-elongated embryo Ce	hermaphrodite	N2	organism
SRR351935	SRS266741		L4 larva Ce	hermaphrodite	N2	organism
SRR351936	SRS266741		L4 larva Ce	hermaphrodite	N2	organism
SRR351938	SRS266743		L4 larva Ce	hermaphrodite	N2	organism
SRR351939	SRS266743		L4 larva Ce	hermaphrodite	N2	organism
SRR352279	SRS266880		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR352280	SRS266880		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR358683	SRS269108		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR358684	SRS269108		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR358685	SRS269108		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR358686	SRS269108		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR358687	SRS269108		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR358688	SRS269109		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR358689	SRS269109		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR358690	SRS269109		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR358691	SRS269109		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR358692	SRS269109		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR358693	SRS269110		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR358694	SRS269110		L2d-dauer molt Ce	hermaphrodite	CB1370	organism
SRR358695	SRS269111		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR358696	SRS269111		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR358697	SRS269111		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR358698	SRS269111		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR358699	SRS269111		post dauer stage Ce	hermaphrodite	CB1370	organism
SRR360120	SRS269389		dauer larva Ce	hermaphrodite	CB1370	organism
SRR360121	SRS269389		dauer larva Ce	hermaphrodite	CB1370	organism
SRR360122	SRS269390		dauer larva Ce	hermaphrodite	CB1370	organism
SRR360123	SRS269390		dauer larva Ce	hermaphrodite	CB1370	organism
SRR360124	SRS269391		dauer larva Ce	hermaphrodite	CB1370	organism
SRR360125	SRS269391		dauer larva Ce	hermaphrodite	CB1370	organism
SRR360126	SRS269392		adult	hermaphrodite	N2	organism
SRR360127	SRS269392		adult	hermaphrodite	N2	organism
SRR360128	SRS269392		adult	hermaphrodite	N2	organism
SRR360129	SRS269392		adult	hermaphrodite	N2	organism
SRR360130	SRS269392		adult	hermaphrodite	N2	organism
SRR360132	SRS269393		adult	hermaphrodite	N2	organism
SRR360133	SRS269393		adult	hermaphrodite	N2	organism
SRR360134	SRS269393		adult	hermaphrodite	N2	organism
SRR1611854	SRS308486		L1 larva Ce	hermaphrodite	LX837	NSM
SRR474827	SRS308486		L1 larva Ce	hermaphrodite	N2	NSM
SRR473299	SRS311684		L1 larva Ce	hermaphrodite	N2	organism
SRR473085	SRS311687		L1 larva Ce	hermaphrodite	N2	organism
SRR473086	SRS311688		L2 larva Ce	hermaphrodite	N2	motor neuron
SRR473300	SRS311689		L2 larva Ce	hermaphrodite	N2	motor neuron
SRR474828	SRS311690		L2 larva Ce	hermaphrodite	N2	motor neuron
SRR493075	SRS311746		L1 larva Ce	hermaphrodite	N2	neuron
SRR493076	SRS311747		L1 larva Ce	hermaphrodite	N2	organism
SRR493077	SRS311748		L1 larva Ce	hermaphrodite	LX837	NSM
SRR493078	SRS311749		L1 larva Ce	hermaphrodite	N2	neuron
SRR493079	SRS311750		L1 larva Ce	hermaphrodite	N2	organism
SRR493099	SRS311761		4-cell embryo Ce	hermaphrodite	N2	organism
SRR493100	SRS311761		4-cell embryo Ce	hermaphrodite	N2	organism
SRR493102	SRS311762		gastrulating embryo Ce	hermaphrodite	N2	intestine
SRR493103	SRS311762		gastrulating embryo Ce	hermaphrodite	N2	intestine
SRR493105	SRS311763		proliferating embryo Ce	hermaphrodite	N2	organism
SRR554453	SRS311763		proliferating embryo Ce	hermaphrodite	N2	organism
SRR493358	SRS311907		proliferating embryo Ce	hermaphrodite	N2	organism
SRR493359	SRS311907		proliferating embryo Ce	hermaphrodite	N2	organism
SRR493360	SRS311907		proliferating embryo Ce	hermaphrodite	N2	organism
SRR493361	SRS311907		proliferating embryo Ce	hermaphrodite	N2	organism
SRR578143	SRS311907		proliferating embryo Ce	hermaphrodite	N2	organism
SRR493362	SRS311908		L2 larva Ce	hermaphrodite	N2	organism
SRR493363	SRS311908		L2 larva Ce	hermaphrodite	N2	organism
SRR493364	SRS311908		L2 larva Ce	hermaphrodite	N2	organism
SRR493365	SRS311908		L2 larva Ce	hermaphrodite	N2	organism
SRR578144	SRS311908		L2 larva Ce	hermaphrodite	N2	organism
SRR504316	SRS344159		proliferating embryo Ce	hermaphrodite	N2	organism
SRR578031	SRS344159		proliferating embryo Ce	hermaphrodite	N2	organism
SRR504317	SRS344160		embryo Ce	hermaphrodite	DZ685	somatic cell
SRR504318	SRS344160		embryo Ce	hermaphrodite	DZ685	somatic cell
SRR578030	SRS344160		embryo Ce	hermaphrodite	DZ685	somatic cell
SRR504319	SRS344161		L1 larva Ce	hermaphrodite	NW1229	neuron
SRR578033	SRS344161		L1 larva Ce	hermaphrodite	NW1229	neuron
SRR504322	SRS344162		L1 larva Ce	hermaphrodite	NW1229	neuron
SRR504323	SRS344162		L1 larva Ce	hermaphrodite	NW1229	neuron
SRR578032	SRS344162		L1 larva Ce	hermaphrodite	NW1229	neuron
SRR504324	SRS344178		L2 larva Ce	hermaphrodite	N2	organism
SRR504325	SRS344178		L2 larva Ce	hermaphrodite	N2	organism
SRR504336	SRS344181		L1 larva Ce	hermaphrodite	LX837	NSM
SRR504337	SRS344181		L1 larva Ce	hermaphrodite	LX837	NSM
SRR578035	SRS344181		L1 larva Ce	hermaphrodite	LX837	NSM
SRR504338	SRS344182		adult	hermaphrodite	N2	gonad
SRR504339	SRS344182		adult	hermaphrodite	N2	gonad
SRR578034	SRS344182		adult	hermaphrodite	N2	gonad
SRR2012768	SRS931094		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2012769	SRS931094		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2012770	SRS931094		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2012771	SRS931094		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2012774	SRS931095		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2012778	SRS931096		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012779	SRS931096		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012780	SRS931096		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012781	SRS931096		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012782	SRS931097		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012783	SRS931097		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012784	SRS931097		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012785	SRS931097		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012786	SRS931098		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012787	SRS931098		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012788	SRS931098		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012789	SRS931098		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012790	SRS931099		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012791	SRS931099		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012792	SRS931099		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2012793	SRS931099		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015250	SRS932416		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015251	SRS932416		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015252	SRS932416		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015253	SRS932416		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015254	SRS932417		enclosing embryo Ce	hermaphrodite	N2	organism
SRR2015255	SRS932417		enclosing embryo Ce	hermaphrodite	N2	organism
SRR2015256	SRS932417		enclosing embryo Ce	hermaphrodite	N2	organism
SRR2015257	SRS932417		enclosing embryo Ce	hermaphrodite	N2	organism
SRR2015259	SRS932418		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015260	SRS932418		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015261	SRS932418		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015262	SRS932418		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015263	SRS932419		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015268	SRS932420		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015269	SRS932420		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015270	SRS932420		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015271	SRS932421		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015272	SRS932421		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015273	SRS932421		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015274	SRS932421		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015275	SRS932422		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015276	SRS932422		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015277	SRS932422		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015278	SRS932422		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015279	SRS932423		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015280	SRS932423		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015281	SRS932423		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015282	SRS932423		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015283	SRS932424		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015287	SRS932425		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015288	SRS932425		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015289	SRS932425		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015290	SRS932425		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015291	SRS932426		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015292	SRS932426		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015293	SRS932426		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015294	SRS932426		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015297	SRS932429		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015298	SRS932429		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015299	SRS932429		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015300	SRS932429		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015302	SRS932431		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015306	SRS932432		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015307	SRS932432		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015308	SRS932432		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015309	SRS932432		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015310	SRS932433		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015311	SRS932433		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015312	SRS932434		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015313	SRS932434		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015314	SRS932435		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015315	SRS932435		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015316	SRS932436		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015317	SRS932436		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015318	SRS932437		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015319	SRS932437		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015320	SRS932438		enclosing embryo Ce	hermaphrodite	N2	organism
SRR2015321	SRS932438		enclosing embryo Ce	hermaphrodite	N2	organism
SRR2015322	SRS932439		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015323	SRS932439		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015324	SRS932441		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015325	SRS932441		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015326	SRS932442		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015327	SRS932442		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015328	SRS932443		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015329	SRS932443		3-fold embryo Ce	hermaphrodite	N2	organism
SRR2015330	SRS932444		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015331	SRS932444		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015332	SRS932445		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015333	SRS932445		proliferating embryo Ce	hermaphrodite	N2	organism
SRR2015473	SRS932475		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015474	SRS932475		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015475	SRS932476		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015476	SRS932476		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015477	SRS932477		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015478	SRS932477		gastrulating embryo Ce	hermaphrodite	N2	organism
SRR2015479	SRS932478		enclosing embryo Ce	hermaphrodite	N2	organism
SRR2015480	SRS932478		enclosing embryo Ce	hermaphrodite	N2	organism
SRR2015481	SRS932479		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015482	SRS932479		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015485	SRS932481		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015486	SRS932481		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015487	SRS932482		late cleavage stage embryo Ce	hermaphrodite	N2	organism
