Run	Condition	cell_type	genotype	irradiation	organism_part	timepoint	treatment
SRR6364109	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364110	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364111	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364112	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364113	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364114	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364115	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364116	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364117	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364118	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364119	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364120	whole organism, 6hr, amputation		wild type		whole organism	6hr	amputation
SRR6364121	whole organism, 72hr, amputation		wild type		whole organism	72hr	amputation
SRR6364122	whole organism, 72hr, amputation		wild type		whole organism	72hr	amputation
SRR6364123	whole organism, 72hr, amputation		wild type		whole organism	72hr	amputation
SRR6364124	whole organism, 72hr, amputation		wild type		whole organism	72hr	amputation
SRR6364125	whole organism, 72hr, amputation		wild type		whole organism	72hr	amputation
SRR6364126	whole organism, 72hr, amputation		wild type		whole organism	72hr	amputation
SRR6364127	whole organism, 72hr, amputation		wild type		whole organism	72hr	amputation
SRR6364128	whole organism, 72hr, amputation		wild type		whole organism	72hr	amputation
SRR6364129	whole organism, 7day, amputation		wild type		whole organism	7day	amputation
SRR6364130	whole organism, 7day, amputation		wild type		whole organism	7day	amputation
SRR6364131	whole organism, 7day, amputation		wild type		whole organism	7day	amputation
SRR6364132	whole organism, 7day, amputation		wild type		whole organism	7day	amputation
SRR6364133	whole organism, 7day, amputation		wild type		whole organism	7day	amputation
SRR6364134	whole organism, 7day, amputation		wild type		whole organism	7day	amputation
SRR6364135	whole organism, 7day, amputation		wild type		whole organism	7day	amputation
SRR6364136	whole organism, 7day, amputation		wild type		whole organism	7day	amputation
SRR6364137	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364138	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364139	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364140	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364141	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364142	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364143	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364144	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364145	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364146	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364147	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
SRR6364148	whole organism, 9hr, amputation		wild type		whole organism	9hr	amputation
