Run	Sample	Condition	culture_condition_o2_level	organism_part	source_name	title	developmental_stage	genotype	sex	strain
SRR12034922	SAMN15298760	SAMN15298760	O2_7	whole organism	Whole-worm	WW7_D1_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034923	SAMN15298760	SAMN15298760	O2_7	whole organism	Whole-worm	WW7_D1_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034918	SAMN15298761	SAMN15298761	O2_7	whole organism	Whole-worm	WW7_D1_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034919	SAMN15298761	SAMN15298761	O2_7	whole organism	Whole-worm	WW7_D1_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034920	SAMN15298761	SAMN15298761	O2_7	whole organism	Whole-worm	WW7_D1_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034915	SAMN15298762	SAMN15298762	O2_7	whole organism	Whole-worm	WW7_D1_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034916	SAMN15298762	SAMN15298762	O2_7	whole organism	Whole-worm	WW7_D1_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034917	SAMN15298762	SAMN15298762	O2_7	whole organism	Whole-worm	WW7_D1_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034912	SAMN15298763	SAMN15298763	O2_7	whole organism	Whole-worm	WW7_D1_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034913	SAMN15298763	SAMN15298763	O2_7	whole organism	Whole-worm	WW7_D1_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034914	SAMN15298763	SAMN15298763	O2_7	whole organism	Whole-worm	WW7_D1_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
