Run	Condition	isolate	sample_name	strain	biomaterial_provider	description_title	developmental_stage	growth_protocol	organism_part	sex
SRR8041581	B2519	Y25	B2519	WN1023	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041580	B2520	Y26	B2520	WN1024	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041589	B2522	YZ1	B2522	WN1051	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041588	B2524	YZ3	B2524	WN1053	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041550	B2525	YZ4	B2525	WN1054	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041551	B2526	YZ5	B2526	WN1055	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041548	B2527	YZ6	B2527	WN1056	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041549	B2528	YZ7	B2528	WN1057	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041554	B2529	YZ8	B2529	WN1058	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041555	B2530	YZ9	B2530	WN1059	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041552	B2531	YZ10	B2531	WN1060	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041553	B2532	YZ11	B2532	WN1061	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
SRR8041556	B2533	YZ12	B2533	WN1062	Prof. Dr. Jan Kammenga; Laboratory of Nematology, Wageningen University, Droevendaalsesteeg 1, NL-6708 PB Wageningen, The Netherlands	Model organism or animal sample from Caenorhabditis elegans	L4	cultured at 20 °C on OP50	whole organism	hermaphrodite
