# Gene expression in TPM for each run in  study SRP066611
	SRR2954987	SRR2954988	SRR2954989	SRR2954990	SRR2954991	SRR2954992	SRR2954999	SRR2955000	SRR2955001	SRR2954996	SRR2954997	SRR2954998	SRR2955005	SRR2955006	SRR2954993	SRR2954994	SRR2954995	SRR2955002	SRR2955003	SRR2955004
WBGene00220359	36.2	45.49	30.52	35.91	34.48	25.71	39.67	29.48	27.99	10.78	19.07	36.69	19.08	28.37	30.62	11.3	27.64	14.43	25.89	11.13
WBGene00220360	8.2	4.56	10.14	10.5	14.32	8.01	14.12	0	3.63	0.75	5.28	26.67	21.14	14.14	19.08	4.69	0	8.99	13.44	9.25
WBGene00220368	0	4.1	0	3.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220376	1137.97	892.87	916.32	1119.47	1093.58	1543.4	1396.37	1816.97	1576.39	3510.71	1869.16	1439.01	2680.83	2735.44	1159.23	1241.88	2652.35	2639.6	2082.14	2219.81
WBGene00220380	26.74	9.71	37.79	58.67	90.71	44.76	17.54	73.01	146.2	75.08	78.73	63.88	68.92	87.83	51.34	83.09	68.45	100.49	140.23	103.39
WBGene00220387	8867.03	7101.61	7325.92	9178.48	8650.47	8570.96	8864.62	8916.52	8232.81	8312.52	8078.31	7637.88	9314.55	8271.86	9854.04	8768.25	8749.37	8003.34	8959.34	7835.98
WBGene00220389	3.95	0	0	1.06	0	0	0	0	2.8	2.88	0	0	5.09	0	0	4.52	0	0	0	0
WBGene00220390	3.13	1.49	5.81	3.8	1.64	1.53	4.04	4.21	4.58	1.71	3.03	10.91	4.54	1.35	1.21	4.03	2.63	6.86	0	5.3
WBGene00220391	58.06	62.89	44.06	151.46	55.3	128.85	63.63	127.68	72.95	100.85	168.27	102.97	71.42	45.51	90.05	158.61	75.37	69.42	103.8	89.29
WBGene00220396	3.41	8.36	5.42	6.7	6.13	5.71	5.04	3.49	5.18	2.66	3.77	2.72	3.77	1.68	6.05	11.71	1.64	12.82	3.83	3.3
WBGene00220398	99.11	57.98	117	61.91	75.52	70.38	69.83	48.43	83.81	61.49	43.52	12.56	34.83	54.38	55.9	69.62	158.94	39.5	79.74	60.97
WBGene00220406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220407	12.9	15.81	27.34	11.91	23.16	28.79	6.35	13.21	13.71	46.27	14.24	10.27	14.25	6.35	17.15	12.66	43.34	24.23	43.48	12.47
WBGene00220409	3.28	4.7	0	5.31	0	0	0	0	3.49	0	6.35	0	25.39	5.66	0	5.64	0	0	0	5.56
WBGene00220411	173.51	134.24	149.27	278.47	284.52	294.64	147.24	207.27	310.11	359.67	233.21	84.1	165.27	95.4	311.99	284.98	447.8	297.67	108.8	238.21
WBGene00220416	20.55	12.47	20.8	16.61	0	7.3	12.87	6.7	27.81	24.48	28.88	52.07	14.45	25.78	23.18	0	18.83	0	0	18.96
WBGene00220418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220422	173.17	163.46	119.68	319.76	227.67	251.98	239.75	365.06	138.98	559.82	387.08	217.66	196.92	333.76	321.23	274.04	484.88	267.96	207.01	143.6
WBGene00220424	128.4	75.15	91.93	132.92	122.71	140.76	155.17	104.94	150.87	174.62	87.04	163.22	130.63	85.46	83.84	116.04	204.35	59.25	62.02	99.07
WBGene00220425	635.02	325.08	378.12	427.75	427.09	688.94	1120.59	632.15	337.55	1022.89	439.27	458.84	484.96	1203.22	376.91	228.85	553.16	635.86	801.72	769.18
WBGene00220433	6.76	6.07	8.86	14.79	6.67	7.77	6.85	17.11	9.3	8.69	12.3	22.18	4.61	6.86	9.87	12.3	9.36	6.98	3.13	6.73
WBGene00220434	291.94	235.94	188.37	169.29	159.57	173.51	153.01	250.18	134.94	83.15	171.67	318.38	196.29	240.77	157.48	152.57	85.3	111.3	99.85	107.36
WBGene00220438	98.59	76.57	27.09	38.37	91.81	14.26	62.88	78.51	23.29	63.79	42.33	20.35	28.23	0	45.3	75.24	49.07	0	0	12.35
WBGene00220439	78.02	68.17	36.18	39.41	0	38.09	22.39	23.3	17.28	28.39	37.68	72.48	25.13	44.84	80.66	44.65	43.69	42.75	38.36	65.99
WBGene00220441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220443	51.48	79.05	26.79	51.02	52.71	51.86	48.94	72.62	43.34	38.15	64.81	80.5	56.73	41.77	47.68	51.2	36.78	63.32	54.97	64.62
WBGene00220444	13.16	0	36.63	21.28	13.79	12.85	0	0	13.99	0	0	0	12.72	0	20.41	11.3	11.06	0	12.94	11.13
WBGene00220450	12.4	8.86	23	0	12.99	0	0	11.11	19.77	0	11.98	0	11.98	32.07	19.23	0	20.83	13.59	0	0
WBGene00220454	14.41	6.87	26.73	23.29	0	0	0	25.82	30.63	7.87	83.52	40.16	0	0	22.35	0	0	0	0	0
WBGene00220456	0	7.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220458	0	0	0	0	0	0	0	0	4.29	0	0	0	0	0	25.05	13.87	13.57	0	0	0
WBGene00220460	0	0	0	0	0	0	0	0	1.93	0	0	0	0	0	0	0	0	0	0	0
WBGene00220465	14.67	23.31	27.22	15.81	30.74	9.55	58.96	8.76	10.4	21.36	37.8	13.63	9.45	8.43	22.76	25.19	41.08	10.72	38.47	0
WBGene00220466	0	1.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220469	188.83	183.13	152.3	179.18	192.67	205.22	209.25	211.84	230.42	324.5	222.08	128.14	215.84	175.56	208.82	191.73	375.16	179.97	213.12	238.87
WBGene00220477	34.86	17.59	22.82	19.89	42.96	32.03	98.87	36.74	89.37	29.1	23.77	22.86	31.71	42.43	0	28.17	82.67	62.93	32.26	48.56
WBGene00220480	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41
WBGene00220481	24.31	21.89	35.08	36.03	33.96	26.38	37.22	14.52	38.77	44.24	10.44	45.18	10.44	27.95	20.95	32.47	27.23	29.61	47.82	18.28
WBGene00220483	10.18	11.86	8.39	32.91	37.92	57.43	23.37	48.64	61.32	60.51	52.45	12.61	30.61	62.41	49.12	31.07	60.8	24.79	31.14	57.4
WBGene00220487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220489	66.85	75.98	19.08	83.13	107.75	140.59	106.27	161.26	138.04	182.48	114.26	93.16	74.56	368.02	127.61	136.87	345.57	276.18	268	269.67
WBGene00220491	30.51	29.08	17.87	85.01	90.84	81.53	107.85	89.19	135.71	147.27	96.18	85.03	117.95	135.68	87.16	93.75	207.71	119.68	116.84	111.37
WBGene00220492	134.4	145.73	130.89	514.65	337.92	656.14	700.12	716.43	458.99	1832.41	759.53	458.84	428.67	1129.83	729.51	790.4	1778.03	640.77	746.66	630.88
WBGene00220494	24.77	27.96	79.79	65.32	68.28	71.27	62.85	51.38	47.11	19.21	25.18	90.82	37.79	44.95	64.69	69.38	13.14	28.57	30.76	66.15
WBGene00220495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220496	11.2	4.27	24.93	3.62	9.39	8.75	0	0	0	0	0	12.49	0	0	0	0	0	0	0	7.58
WBGene00220498	4.6	7.3	22.73	8.67	0	11.97	10.55	0	4.89	6.69	5.92	25.62	0	0	4.75	26.3	15.44	20.15	12.05	15.55
WBGene00220499	96.69	114.59	106.65	97.17	109.51	81.65	117.01	93.65	94.46	42.8	111.08	160.23	80.83	108.15	81.06	98.72	87.8	57.29	51.39	61.89
WBGene00220500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220502	48.19	73.21	61.46	87.64	50.49	29.41	20.75	43.17	38.42	39.46	58.19	25.18	46.58	31.16	18.68	67.23	25.3	33.01	35.54	35.66
WBGene00220503	160.77	155.24	263.37	322.34	297.48	326.18	359.56	381.6	395.1	695.29	419.54	290.95	322.88	331.24	375.61	423.05	975.1	256.3	287.42	254.29
WBGene00220504	14.18	11.35	18.94	11.46	7.13	2.22	0	4.06	4.22	3.1	6.57	6.32	13.16	9.78	5.28	3.9	3.81	4.97	0	3.84
WBGene00220507	0	0.27	0	0.23	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0
WBGene00220510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220511	31.82	28.31	31.48	60.01	8.89	8.28	87.67	83.62	24.8	132.01	90.16	47.29	73.8	80.47	13.16	43.71	171.04	27.9	41.71	50.23
WBGene00220514	19.04	6.81	8.83	15.39	9.97	9.3	4.1	8.53	10.12	20.79	4.6	6.63	9.2	4.1	3.69	24.52	15.99	5.22	9.36	4.03
WBGene00220515	43.03	47.21	69.28	63	51.03	66.59	67.11	72.73	101.84	49.64	72.15	49.78	131.82	114.8	80.58	72.49	49.1	135.25	118.14	79.65
WBGene00220516	36.73	32.32	10.48	18.27	23.68	11.04	9.73	15.19	6.01	23.14	32.76	23.63	0	9.75	13.15	14.56	37.98	6.19	11.11	14.34
WBGene00220518	8.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220519	37.72	45.54	37.32	28.46	31.61	29.46	25.98	27.04	50.79	52.17	38.87	42.05	77.78	43.36	62.4	17.27	76.04	44.1	19.78	42.54
WBGene00220522	1.29	1.23	0	1.56	2.7	2.52	6.66	4.62	2.74	0	0	7.19	4.99	0	0	0	0	0	0	6.55
WBGene00220524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220525	67.23	67.21	77.06	59.64	54.97	42.7	48.95	35.26	32.54	19.69	52.8	60.93	40.15	49.01	52.56	60.07	9.18	43.13	45.15	44.38
WBGene00220526	0	3.39	6.59	4.31	0	0	0	0	3.78	3.88	6.87	0	6.87	6.13	5.51	0	5.97	0	0	0
WBGene00220527	93.44	113.93	120.93	93.09	109.27	67.9	52.39	46.72	83.16	189.8	100.76	169.57	67.21	82.44	121.32	89.55	138.72	57.16	34.19	102.92
WBGene00220528	238.79	150.87	206.03	179.55	209.44	249.42	181.7	208.96	156.45	463.83	246.78	263.1	246.9	201.1	241.14	209.78	401.15	206.94	273.02	169.09
WBGene00220529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220530	27.99	43.2	34.61	56.02	55.85	62.46	59.67	28.66	28.34	37.83	41.2	44.57	30.92	36.77	41.34	77.81	58.21	40.9	41.94	27.05
WBGene00220531	17.7	18.28	21.9	36.97	43.28	46.1	25.41	21.15	39.21	16.11	22.8	41.12	17.11	5.09	22.88	50.67	4.96	19.41	23.21	24.96
WBGene00220532	222.35	225.57	171.55	157.75	145.33	140.76	124.13	124.28	93.98	143.29	136.64	151.61	141.96	103.19	156.08	154.12	111.95	71.55	131.05	87.42
WBGene00220533	0	0	0	0	0	0	0	6.5	1.93	0	0	0	0	0	0	0	0	0	0	0
WBGene00220536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220537	2.34	2.23	0	10.41	9.81	9.15	8.07	8.39	1.24	19.17	13.57	0	22.63	12.11	7.26	20.1	23.6	10.27	32.23	7.92
WBGene00220538	0	2.73	0	0	0	0	0	0	0	1.56	0	0	0	0	0	0	0	0	0	0
WBGene00220539	138.91	128.83	195	145.66	78.66	131.97	103.44	242.17	175.61	348.42	130.57	188.34	116.12	142.43	163.03	206.29	315.35	148.13	103.36	76.21
WBGene00220541	47.6	47.64	52.98	25.01	69.81	27.89	8.2	76.76	37.95	33.78	9.2	26.53	46.01	41.04	29.53	0	23.99	10.43	28.08	32.21
WBGene00220542	56.12	133.73	156.15	56.7	0	27.4	96.64	25.14	59.66	76.59	0	39.1	27.12	24.19	43.51	0	94.27	123.01	55.18	47.46
WBGene00220543	0	5.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220544	79.3	73.5	73.56	92.59	36.93	60.23	75.87	55.26	79.63	115.45	68.1	122.79	51.1	53.18	95.66	83.22	96.22	96.58	60.65	37.26
WBGene00220546	7.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220547	1.62	4.62	0	1.31	0	0	5.56	0	0	0	6.24	0	0	0	0	0	0	7.08	0	0
WBGene00220549	11.25	10.31	14.45	9.44	7.25	13.52	5.96	6.2	13.34	10.87	6.69	7.24	5.02	10.45	9.4	2.97	11.63	5.69	5.11	10.25
WBGene00220552	72.4	70.04	73.62	58.96	69.67	62.84	68.35	57.66	58.16	48.02	43.52	83.7	37.32	51.79	56.56	46.05	41.45	61.13	46.41	63.51
WBGene00220554	3.97	5.04	0	2.14	0	0	4.55	4.74	0	2.89	5.11	0	0	0	0	0	8.88	0	10.4	0
WBGene00220555	3456.29	2491.77	2531.68	3201.7	2301.05	2463.86	3629.44	3368.83	4662.44	5349.18	2609.39	2228.64	2294.65	2512.79	2337.03	3142.88	6042.31	3077.35	3634.46	3811.6
WBGene00220556	100.56	82.03	82.51	58.62	56.73	98.19	79.93	45.05	28.78	51.73	59.78	32.34	59.81	73.37	62.98	79.7	58.48	33.91	53.24	65.43
WBGene00220557	77.16	63.52	39.04	32.6	58.79	47.94	36.24	56.56	50.34	57.44	40.66	58.65	47.46	48.38	48.95	84.31	53.03	61.51	34.49	11.87
WBGene00220561	31.79	32.64	27.22	11.86	40.99	28.65	42.11	26.29	20.8	26.7	18.9	13.63	28.36	16.87	15.17	33.59	41.08	21.44	9.62	24.82
WBGene00220563	8.42	8.02	20.82	13.61	23.52	21.92	9.66	10.06	20.88	0	0	46.92	0	19.35	0	0	0	24.6	0	28.48
WBGene00220564	0	0	0	0	0	0	0	0	0	6.77	0	0	0	0	0	0	0	0	0	0
WBGene00220566	0	5.62	7.29	3.18	0	7.67	0	0	4.18	2.15	0	0	7.6	6.78	0	0	0	0	15.46	0
WBGene00220568	14.75	10.39	19.03	8.81	10.75	10.02	8.83	4.6	7.5	8.4	4.96	14.3	7.44	6.63	3.98	8.81	4.31	5.62	12.61	2.17
WBGene00220573	23.11	17.24	22.36	28.42	29.47	15.69	24.22	21.6	20.29	15.36	23.29	39.2	19.42	13.86	18.7	17.25	13.5	30.83	3.95	23.79
WBGene00220576	126.45	132.81	112.94	116.4	142.28	73.16	129.04	130.07	155.59	94.6	122.15	91.36	144.85	153.44	167.05	132.69	70.81	153.99	124.33	154.48
WBGene00220579	19.47	21.41	22.22	16.95	18.83	23.39	15.47	32.2	17.51	9.81	28.93	16.69	28.95	15.49	13.93	20.57	20.13	19.7	41.23	10.13
WBGene00220580	106.05	90.16	223.31	122.79	132.12	89.55	98.72	133.53	45.71	190.89	77.53	79.88	77.57	118.62	151.13	127.96	154.08	25.13	45.09	48.48
WBGene00220581	7.01	26.75	104.1	17.01	0	27.4	24.16	25.14	14.91	30.64	27.11	39.1	27.12	24.19	21.76	48.18	0	30.75	27.59	0
WBGene00220582	57.08	51.54	49.04	76.24	67.98	96.21	76.56	60.29	65.15	87.24	95.19	56.93	58.07	87.03	68.95	57.77	127.17	73.75	56.71	85.37
WBGene00220584	0.83	1.31	2.04	1.56	2.31	0	0	0.99	0.88	0.6	2.13	3.07	1.06	1.9	0.85	0	0	0	0	0.93
WBGene00220585	258.02	199.02	284.99	351.84	346.66	500.02	251	282.34	665.86	326.87	274	153.7	510.19	502.68	299.35	358.5	502.95	699.44	495.8	319.85
WBGene00220588	48.13	51.17	27.47	89.77	62.06	79.53	51	66.34	90.52	76.8	92.99	51.59	57.25	63.84	80.38	127.14	93.29	40.58	72.81	50.1
WBGene00220589	18.2	11.93	8.44	19.31	28.6	35.54	15.67	36.69	19.35	23.6	13.19	38.04	0	7.85	17.64	7.81	22.93	29.92	26.84	23.09
WBGene00220590	13.81	13.17	15.37	12.28	11.58	16.18	4.76	4.95	2.94	1.51	5.34	15.4	5.34	4.76	21.42	28.46	4.64	24.22	16.3	14.02
WBGene00220594	5.63	2.01	7.83	18.19	8.84	27.47	21.8	27.72	26.17	19.2	16.31	7.84	27.19	14.55	10.91	7.25	28.36	24.67	13.83	28.55
WBGene00220596	32.86	28.72	50.8	26.56	11.48	53.48	28.3	39.26	34.94	74.75	84.66	30.53	0	0	42.47	47.02	147.22	12.01	43.08	18.53
WBGene00220598	16.08	14.52	25.12	42.41	46.1	95.84	61.2	124.33	110.65	90.54	140.61	37.73	196.29	151.76	136.48	110.43	59.71	259.69	146.44	160.32
WBGene00220599	46.02	43.87	56.92	52.7	24.11	29.96	52.84	20.62	28.54	27.22	66.69	21.38	22.24	33.07	35.69	32.93	45.1	58.85	37.71	25.95
WBGene00220600	35.07	33.43	52.05	73.71	88.19	109.59	48.32	25.14	59.66	84.25	81.32	0	81.36	48.38	21.76	120.45	47.14	61.51	165.54	71.19
WBGene00220601	49.29	40.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220602	73.17	79.71	38.78	143.64	21.9	102.07	108.01	74.92	100.01	68.48	80.79	58.27	0	0	64.85	89.75	122.93	45.83	82.23	88.41
WBGene00220608	17.6	19.24	21.12	27.61	10.84	42.45	16.04	18.55	16.51	7.91	14	23.08	10.01	33.92	28.9	24.88	8.7	18.15	10.18	17.51
WBGene00220609	81.16	69.02	103.32	99.05	123.37	118.09	147.99	68.44	82.9	37.36	79.94	102.01	73.83	74.09	111.06	103.84	45.45	87.21	62.59	94.22
WBGene00220610	212.23	168.77	156.61	165.86	230.94	247.29	230.19	168.08	218.14	202.27	185.77	189.53	203.99	161.76	181.84	177.17	161.52	164.5	230.59	174.54
WBGene00220614	6.42	15.31	11.91	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220615	136.3	138.59	157.33	181.18	203.09	248.44	187.79	238.81	157.79	181.9	245.8	185.72	175.66	250.72	225.49	166.44	162.84	185.92	178.7	256.19
WBGene00220617	5.92	8.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220618	1.01	2.89	0	0.82	4.23	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0
WBGene00220619	177.7	171.41	227.61	596.78	363.47	396.6	327.88	363.9	323.86	1037.09	196.19	153.29	408.94	627.47	446.2	334.19	1051.97	435.91	465.96	379.33
WBGene00220620	6.88	3.28	0	4.17	0	20.15	5.92	0	5.48	0	6.65	38.34	0	0	5.33	11.81	5.78	0	6.76	5.82
WBGene00220621	4.16	6.14	2.81	6.43	0	10.35	2.61	4.07	5.64	3.72	1.46	2.11	2.93	1.31	9.4	10.4	2.54	1.66	2.98	10.25
WBGene00220624	6.53	7.78	24.22	23.74	20.52	38.24	22.48	17.55	20.82	37.42	44.14	27.29	44.17	11.26	0	11.21	16.45	7.15	44.93	27.61
WBGene00220625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220627	4.6	2.19	0	1.86	0	0	0	8.23	0	5.02	0	12.81	8.88	7.93	0	0	7.72	0	0	0
WBGene00220628	27.35	15.34	23.88	20.81	13.49	31.42	44.33	28.83	15.39	35.13	6.22	17.94	31.1	22.2	39.93	27.63	32.44	28.22	25.31	16.33
WBGene00220631	0	7.7	0	9.79	0	15.77	0	0	0	8.82	0	0	31.23	0	0	0	27.14	0	0	0
WBGene00220632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220634	5.13	8.14	0	6.91	14.32	6.67	0	0	7.27	14.92	6.6	9.52	13.21	5.89	15.9	5.87	17.22	14.98	0	17.34
WBGene00220635	12.06	9.86	0	4.18	0	13.46	17.81	12.35	10.99	13.17	6.66	0	0	0	0	5.92	0	7.56	13.56	5.83
WBGene00220636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220637	117.17	127.04	163.01	94.71	79.79	114.4	95.84	78.73	90.31	59.17	118.85	97.96	62.28	70.72	118.11	120.71	19.68	96.31	161.29	89.19
WBGene00220638	0	7.18	0	0	0	0	0	0	0	1.37	0	0	0	0	3.89	0	0	0	0	4.25
WBGene00220641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00220643	315.31	275.78	229.14	649	422.29	672.89	604.58	652.36	666.96	663.7	678.31	308.02	527.83	616.61	544.47	625.15	830.07	840.83	703.2	549.88
WBGene00220644	8.6	4.1	0	0	0	0	0	0	4.57	0	0	0	16.62	0	0	0	0	0	0	14.55
WBGene00220645	63.5	58.64	58.89	44.91	24.95	31	34.17	14.22	31.64	10.83	69.01	22.12	38.36	34.22	73.86	40.89	46.67	17.4	7.8	26.85
WBGene00220646	35.28	38.43	49.86	46.17	21.12	72.17	11.57	42.14	35.72	29.35	45.44	0	12.99	46.35	36.48	51.92	45.16	14.73	19.82	39.79
WBGene00220649	1.88	3.58	0	4.55	0	0	6.47	0	2	4.1	7.25	0	0	0	0	0	0	0	0	0
WBGene00220652	107.65	75.13	85.58	59.04	136.94	67.57	79.45	82.67	67.44	155.31	74.28	64.29	66.89	79.56	89.44	59.41	116.26	42.14	90.73	71.54
WBGene00220654	16.32	15.56	43.25	41.46	29.31	18.21	8.03	8.35	19.83	124.73	36.04	25.99	54.08	8.04	28.93	40.03	86.17	30.66	27.51	23.66
WBGene00220655	15.44	11.88	24.23	37.91	29.85	39.42	47.03	38.29	23.35	9.07	16.06	36.4	9.18	28.66	38.67	34.66	0	20.82	21.01	32.14
WBGene00220658	0	4.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
