Run	Condition	cell_type	developmental_stage	organism_part	sample_name	sample_type	strain	treatment
SRR4046949	irradiation 210Gy, 12h		adult	whole organism	M. lignano adult animals 12 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected 12h after the last pulse
SRR4046950	irradiation 210Gy, 24h		adult	whole organism	M. lignano adult animals 24 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours, transferred to food and collected 24h after the last pulse (straved 12h prior collection)
SRR4046951	irradiation 210Gy, 24h		adult	whole organism	M. lignano adult animals 24 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours, transferred to food and collected 24h after the last pulse (straved 12h prior collection)
SRR4046953	irradiation 210Gy, 24h		adult	whole organism	M. lignano adult animals 24 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours, transferred to food and collected 24h after the last pulse (straved 12h prior collection)
SRR4046954	irradiation 210Gy, 72h		adult	whole organism	M. lignano adult animals 72 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours, transferred to food and collected 72h after the last pulse (straved 12h prior collection)
SRR4046955	irradiation 210Gy, 72h		adult	whole organism	M. lignano adult animals 72 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours, transferred to food and collected 72h after the last pulse (straved 12h prior collection)
SRR4046956	irradiation 210Gy, 72h		adult	whole organism	M. lignano adult animals 72 hours after irradiation with the cumulative dose of 210Gy	whole organism	DV1	worms are irradiated with three pulses of 70Gy every 4 hours, transferred to food and collected 72h after the last pulse (straved 12h prior collection)
SRR4046964	juvenile		juvenile					
SRR4046965	juvenile		juvenile					
SRR4046966	juvenile		juvenile					
SRR4046967	juvenile		juvenile					
SRR4046968	juvenile		juvenile					
SRR4046969	juvenile		juvenile					
SRR4046973	late-S/G2/M stage adult, regenerating head	S/G2/M cells	adult	regenerating head	M. lignano cells in late-S/G2/M cell cycle stage from regenerating heads	FACS-isolated cells	DV1	
SRR4046975	late-S/G2/M stage adult, regenerating head	S/G2/M cells	adult	regenerating head	M. lignano cells in late-S/G2/M cell cycle stage from regenerating heads	FACS-isolated cells	DV1	
SRR4046976	late-S/G2/M stage adult, regenerating head	S/G2/M cells	adult	regenerating head	M. lignano cells in late-S/G2/M cell cycle stage from regenerating heads	FACS-isolated cells	DV1	
SRR4046960	late-S/G2/M stage adult, whole organism	S/G2/M cells	adult	whole organism	M. lignano cells in late-S/G2/M cell cycle stage from adult animals	FACS-isolated cells	DV1	
SRR4046961	late-S/G2/M stage adult, whole organism	S/G2/M cells	adult	whole organism	M. lignano cells in late-S/G2/M cell cycle stage from adult animals	FACS-isolated cells	DV1	
SRR4046962	late-S/G2/M stage adult, whole organism	S/G2/M cells	adult	whole organism	M. lignano cells in late-S/G2/M cell cycle stage from adult animals	FACS-isolated cells	DV1	
SRR4046939	low salinity, 15h		mixed population	whole organism	M. lignano mixed population at low salinity for 15 hours	whole organism	DV1	worms are kept at 1.5? salinity for 15h
SRR4046940	low salinity, 15h		mixed population	whole organism	M. lignano mixed population at low salinity for 15 hours	whole organism	DV1	worms are kept at 1.5? salinity for 15h
SRR4046937	low salinity, 1h		mixed population	whole organism	M. lignano mixed population at low salinity for 1 hour	whole organism	DV1	worms are kept at 1.5? salinity for 1h
SRR4046938	low salinity, 1h		mixed population	whole organism	M. lignano mixed population at low salinity for 1 hour	whole organism	DV1	worms are kept at 1.5? salinity for 1h
SRR4046943	low salinity, 60h		mixed population	whole organism	M. lignano mixed population at low salinity for 60 hours	whole organism	DV1	worms are kept at 1.5? salinity for 60h
SRR4046952	standard conditions		mixed population	whole organism	M. lignano mixed population grown under standard conditions	whole organism	DV1	worms are starved for 18-24h prior RNA isolation to prevent diatom contamination
SRR4046963	standard conditions		mixed population	whole organism	M. lignano mixed population grown under standard conditions	whole organism	DV1	worms are starved for 18-24h prior RNA isolation to prevent diatom contamination
SRR4046978	standard conditions		mixed population	whole organism	M. lignano mixed population grown under standard conditions	whole organism	DV1	worms are starved for 18-24h prior RNA isolation to prevent diatom contamination
SRR4046979	standard conditions		mixed population	whole organism	M. lignano mixed population grown under standard conditions	whole organism	DV1	worms are starved for 18-24h prior RNA isolation to prevent diatom contamination
SRR4046980	standard conditions		mixed population	whole organism	M. lignano mixed population grown under standard conditions	whole organism	DV1	worms are starved for 18-24h prior RNA isolation to prevent diatom contamination
SRR4046933	starvation, 15h		mixed population	whole organism	M. lignano mixed population starved for 15 hours	whole organism	DV1	worms are starved for 15h
SRR4046931	starvation, 1h		mixed population	whole organism	M. lignano mixed population starved for 1 hour	whole organism	DV1	worms are starved for 1h
SRR4046935	starvation, 60h		mixed population	whole organism	M. lignano mixed population starved for 60 hours	whole organism	DV1	worms are starved for 60h
SRR4046936	starvation, 60h		mixed population	whole organism	M. lignano mixed population starved for 60 hours	whole organism	DV1	worms are starved for 60h
