Run	Sample	Condition	molecule_subtype	organism_part	strain	treatment
SRR8146686	SAMN10364881	"polysomal RNA, empty vector"	polysomal RNA	whole organism	HT115	empty vector
SRR8146680	SAMN10364882	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
SRR8146681	SAMN10364882	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
SRR8146682	SAMN10364882	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
SRR8146676	SAMN10364883	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
SRR8146677	SAMN10364883	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
SRR8146678	SAMN10364883	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
SRR8146679	SAMN10364883	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
SRR8146673	SAMN10364884	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
SRR8146674	SAMN10364884	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
SRR8146675	SAMN10364884	"total RNA, empty vector"	total RNA	whole organism	HT115	empty vector
